movies and shows filmed @ ucla,,,,,,,,,
Movies_name,Movies_url,Movies_releaseDate,Movies_genre,Movies_runTime,Movies_movieRating,Movies_movieStars,Movies_votes,Movies_rating,
Spring Breakdown,https://www.imdb.com/title/tt0814331/?ref_=adv_li_tt,2009,"Comedy, Romance",84 min,R,"Stars: Amy Poehler, Parker Posey, Rachel Dratch, Amber Tamblyn","4,461",4.8,-2009
The Reincarnation of Peter Proud,https://www.imdb.com/title/tt0073615/?ref_=adv_li_tt,1975,"Horror, Mystery",105 min,R,"Stars: Michael Sarrazin, Jennifer O'Neill, Margot Kidder, Cornelia Sharpe","1,660",6.5,-1975
Happy Together,https://www.imdb.com/title/tt0097478/?ref_=adv_li_tt,1989,"Comedy, Romance",102 min,PG-13,"Stars: Patrick Dempsey, Helen Slater, Dan Schneider, Kevin Hardesty","1,610",6,-1989
Earth vs. the Flying Saucers,https://www.imdb.com/title/tt0049169/?ref_=adv_li_tt,1956,"Horror, Sci-Fi",83 min,Unrated,"Stars: Hugh Marlowe, Joan Taylor, Donald Curtis, Morris Ankrum","7,069",6.4,-1956
Timestalkers,https://www.imdb.com/title/tt0094154/?ref_=adv_li_tt,1987,"Adventure, Drama, Sci-Fi",100 min,Not Rated,"Stars: William Devane, Lauren Hutton, John Ratzenberger, Forrest Tucker","1,217",5.7,-1987
The Jackie Robinson Story,https://www.imdb.com/title/tt0042609/?ref_=adv_li_tt,1950,"Biography, Drama, Sport",77 min,Approved,"Stars: Jackie Robinson, Ruby Dee, Minor Watson, Louise Beavers","1,120",6.4,-1950
Six Weeks,https://www.imdb.com/title/tt0084691/?ref_=adv_li_tt,1982,Drama,107 min,PG,"Stars: Dudley Moore, Mary Tyler Moore, Katherine Healy, Shannon Wilcox",799,5.8,-1982
Krippendorf's Tribe,https://www.imdb.com/title/tt0120725/?ref_=adv_li_tt,1998,Comedy,94 min,PG-13,"Stars: Richard Dreyfuss, Jenna Elfman, Natasha Lyonne, Gregory Smith","5,213",5,-1998
These Three,https://www.imdb.com/title/tt0028356/?ref_=adv_li_tt,1936,"Drama, Romance",93 min,Passed,"Stars: Miriam Hopkins, Merle Oberon, Joel McCrea, Catherine Doucet","2,420",7.4,-1936
Brené Brown: The Call to Courage,https://www.imdb.com/title/tt10050766/?ref_=adv_li_tt,2019,"Documentary, Drama",76 min,,Star: Brené Brown,"1,170",7.7,-2019
The Big Fix,https://www.imdb.com/title/tt0077233/?ref_=adv_li_tt,1978,"Comedy, Mystery, Thriller",108 min,PG,"Stars: Richard Dreyfuss, Susan Anspach, Bonnie Bedelia, John Lithgow","1,379",6.3,-1978
Be Natural: The Untold Story of Alice Guy-Blaché,https://www.imdb.com/title/tt3146022/?ref_=adv_li_tt,2018,Documentary,103 min,,"Stars: Alice Guy, Richard Abel, Marc Abraham, Jeff Aikman",641,7.7,-2018
Prey,https://www.imdb.com/title/tt0128419/?ref_=adv_li_tt,1998,"Mystery, Sci-Fi, Thriller",60 min,,"Stars: Adam Storke, Frankie Faison, Larry Drake, Debra Messing",510,7.6,-1998
Tag: The Assassination Game,https://www.imdb.com/title/tt0084756/?ref_=adv_li_tt,1982,"Action, Thriller",90 min,PG,"Stars: Robert Carradine, Linda Hamilton, Kristine DeBell, Perry Lang",809,6,-1982
The Explosive Generation,https://www.imdb.com/title/tt0054862/?ref_=adv_li_tt,1961,Drama,89 min,TV-PG,"Stars: William Shatner, Patty McCormack, Lee Kinsolving, Virginia Field",347,6.4,-1961
One Hour Fantasy Girl,https://www.imdb.com/title/tt1199557/?ref_=adv_li_tt,2009,"Drama, Mystery, Romance",89 min,,"Stars: Kelly-Ann Tursi, Jon Morgan Woodward, Joseph Luckay, Paul Yen",164,5.1,-2009
City of Gold,https://www.imdb.com/title/tt2614776/?ref_=adv_li_tt,2015,"Documentary, Biography",96 min,R,"Stars: David Chang, Roy Choi, Jonathan Gold, Ludo Lefebvre",922,7.2,-2015
The Rockford Files: Friends and Foul Play,https://www.imdb.com/title/tt0117502/?ref_=adv_li_tt,1996,"Action, Crime, Drama",120 min,TV-PG,"Stars: James Garner, Marcia Strassman, Joe Santos, David Proval",180,7.6,-1996
Slacker Uprising,https://www.imdb.com/title/tt0850669/?ref_=adv_li_tt,2007,Documentary,102 min,Not Rated,"Stars: Michael Moore, Eddie Vedder, Robert Ellis Orrall, Steve Earle","2,699",5.1,-2007
Destroy the Alpha Gammas,https://www.imdb.com/title/tt3092888/?ref_=adv_li_tt,2013,Musical,,,"Stars: Leah McKendrick, Anastacia McPherson, Sara Fletcher, Lindsey Morgan",30,7.9,-2013
Grayson,https://www.imdb.com/title/tt0430154/?ref_=adv_li_tt,2004,"Sci-Fi, Short, Action",6 min,Not Rated,"Stars: John Fiorella, Brian C. Bethel, Paul Hasenyager, Anthony Hartley","1,687",7.3,-2004
Here Come the Co-eds,https://www.imdb.com/title/tt0037771/?ref_=adv_li_tt,1945,"Comedy, Music, Sport",90 min,Approved,"Stars: Bud Abbott, Lou Costello, Peggy Ryan, Martha O'Driscoll","1,250",6.7,-1945
Full Circle,https://www.imdb.com/title/tt0116019/?ref_=adv_li_tt,1996,"Drama, Romance",96 min,TV-PG,"Stars: Teri Polo, Reed Diamond, Erika Slezak, Eric Lutes",310,5.5,-1996
The Young Lovers,https://www.imdb.com/title/tt0058763/?ref_=adv_li_tt,1964,Drama,109 min,,"Stars: Peter Fonda, Sharon Hugueny, Nick Adams, Deborah Walley",150,5.6,-1964
A Financial Engagement,https://www.imdb.com/title/tt5714330/?ref_=adv_li_tt,2016,"Short, Comedy",8 min,,"Stars: Jill Galbraith, Anthony Ruff, Rachel Kamath, Aizha Aubakirova",6,8.2,-2016
Jackie Robinson,https://www.imdb.com/title/tt5618356/?ref_=adv_li_tt,2016,"Documentary, Biography",240 min,TV-PG,"Stars: Keith David, Jamie Foxx",387,8.2,-2016
Shopworn,https://www.imdb.com/title/tt0023464/?ref_=adv_li_tt,1932,"Drama, Romance",72 min,Passed,"Stars: Barbara Stanwyck, Regis Toomey, Zasu Pitts, Lucien Littlefield",634,6.4,-1932
Nickelodeon Kids' Choice Awards '04,https://www.imdb.com/title/tt0413045/?ref_=adv_li_tt,2004,"Family, Reality-TV",,,"Stars: Mike Myers, Cameron Diaz, André 3000, Anthony Anderson",105,5.9,-2004
Adult Under Construction,https://www.imdb.com/title/tt7644172/?ref_=adv_li_tt,2017,Documentary,,,Star: Line Jørgensen,8,7,-2017
Blood,https://www.imdb.com/title/tt6997436/?ref_=adv_li_tt,2016,"Short, Horror",,,Star: Clémence Lassalas,0,0,-2016
Nickelodeon Kids' Choice Awards '05,https://www.imdb.com/title/tt0459659/?ref_=adv_li_tt,2005,Reality-TV,90 min,,"Stars: Ben Stiller, Paula Abdul, Jessica Alba, Anthony Anderson",101,5.5,-2005
Nickelodeon Kids' Choice Awards 2010,https://www.imdb.com/title/tt1606644/?ref_=adv_li_tt,2010,Music,90 min,,"Stars: Victoria Justice, Adam Sandler, Miranda Cosgrove, Robert Downey Jr.",107,6,-2010
Nickelodeon Kids' Choice Awards 2009,https://www.imdb.com/title/tt1409118/?ref_=adv_li_tt,2009,Family,90 min,,"Stars: Dwayne Johnson, David Archuleta, Casandra Ashe, Carmit Bachar",103,6.7,-2009
The Kid from Nowhere,https://www.imdb.com/title/tt0084201/?ref_=adv_li_tt,1982,"Drama, Family",120 min,,"Stars: Susan Saint James, Beau Bridges, Loretta Swit, Ricky Wittman",34,6,-1982
Happy Potter: A Fan Movie for UCLA,https://www.imdb.com/title/tt3220042/?ref_=adv_li_tt,2011,"Short, Adventure, Comedy",4 min,Not Rated,"Stars: Irmak Canpolat, Jou-Yu Chen, Nurberk Dereioglu, Mustapha El-Bokhari",609,6.5,-2011
Nickelodeon Kids' Choice Sports 2015,https://www.imdb.com/title/tt4727264/?ref_=adv_li_tt,2015,Sport,,,"Stars: Isabela Merced, Aidan Gallagher, Brec Bassinger, Kira Kosarin",17,8.1,-2015
Pink Zone,https://www.imdb.com/title/tt3133718/?ref_=adv_li_tt,2014,"Drama, Romance, Sci-Fi",90 min,Not Rated,"Stars: Jayna Sweet, Matt Cooper, Julian Bond, Stell Bahrami",528,2.8,-2014
Grapple!,https://www.imdb.com/title/tt1735974/?ref_=adv_li_tt,2010,"Short, Comedy, Family",13 min,,"Stars: Josue Anthony, Tristen Bankston, Janda Chasse, Taylor Evans",35,8.5,-2010
Christopher Titus: Norman Rockwell Is Bleeding,https://www.imdb.com/title/tt0414324/?ref_=adv_li_tt,2004,Comedy,90 min,TV-14,Star: Christopher Titus,710,8.9,-2004
You Can't Fool Your Wife,https://www.imdb.com/title/tt0033279/?ref_=adv_li_tt,1940,Comedy,68 min,Approved,"Stars: Lucille Ball, James Ellison, Robert Coote, William Halligan",280,5.7,-1940
2006 MTV Movie Awards,https://www.imdb.com/title/tt0790596/?ref_=adv_li_tt,2006,News,,,"Stars: Jessica Alba, Sandra Bullock, Keanu Reeves, Colin Farrell",292,5,-2006
A Helping Hand,https://www.imdb.com/title/tt2838658/?ref_=adv_li_tt,2012,"Short, Drama, Horror",29 min,,"Stars: Sandra Oh, Michelle Krusiec, Nicolas Coster, Jeff Doucette",27,6.9,-2012
D minus,https://www.imdb.com/title/tt8980936/?ref_=adv_li_tt,2019,"Short, Comedy",7 min,,"Stars: Kendra Bodart, Amanda Welch, Jon Ryan McMahon, Kelsey Lin",0,0,-2019
1992 MTV Video Music Awards,https://www.imdb.com/title/tt0308527/?ref_=adv_li_tt,1992,Music,,,"Stars: Dana Carvey, Bryan Adams, Rick Allen, Jeff Ament",168,5.4,-1992
Broken English,https://www.imdb.com/title/tt1344581/?ref_=adv_li_tt,2008,"Short, Drama",10 min,,"Stars: Lourdes Alvarez, Fabian Giron, Doreene L. Hamilton, Rae Stone",5,7.6,-2008
Kingdom of Bliss,https://www.imdb.com/title/tt7272922/?ref_=adv_li_tt,2018,"Short, Drama",25 min,,"Stars: Sara Silva, Georgia Gould, Ritvik Dhavale, Lucas Pincer",0,0,-2018
The Way,https://www.imdb.com/title/tt1692226/?ref_=adv_li_tt,2010,Drama,107 min,PG-13,"Stars: Alex Alvardo, Lorraine Amaya, Ruben Amaya, George Angelo",9,7.1,-2010
Del otro lado del puente,https://www.imdb.com/title/tt0333317/?ref_=adv_li_tt,1980,"Drama, Musical",95 min,,"Stars: Juan Gabriel, Valentín Trujillo, Lucha Villa, Julio Alemán",14,5.7,-1980
Dear Jack,https://www.imdb.com/title/tt1517750/?ref_=adv_li_tt,2009,Documentary,67 min,Unrated,"Stars: Andrew McMahon, Tommy Lee, Lin McMahon, Brian O.W. McMahon",185,8.6,-2009
Nickelodeon Kids' Choice Awards '06,https://www.imdb.com/title/tt0787497/?ref_=adv_li_tt,2006,Reality-TV,90 min,,"Stars: Jack Black, Jessica Alba, Drake Bell, Kwesi Boakye",86,6.7,-2006
L.A. Johns,https://www.imdb.com/title/tt0119489/?ref_=adv_li_tt,1997,Drama,96 min,Unrated,"Stars: Thomas Calabro, Brittney Powell, John Terry, Curtis Armstrong",172,5.1,-1997
California Dreaming,https://www.imdb.com/title/tt3986092/?ref_=adv_li_tt,2016,"Short, Comedy, Fantasy",10 min,,"Stars: Johnny Cannizzaro, Leonel Claude, David Hill, Jimmy Slonina",0,0,-2016
The Last Case of August T. Harrison,https://www.imdb.com/title/tt4041320/?ref_=adv_li_tt,2015,"Drama, Horror, Mystery",66 min,,"Stars: Jerry Lacy, Nathan Wilson, Maggie Wagner, Kelly Erin Decker",52,7.4,-2015
The Harry Smith Project Live,https://www.imdb.com/title/tt0888024/?ref_=adv_li_tt,2006,Music,150 min,,"Stars: Elvis Costello, Christopher Guest, Michael McKean, Harry Shearer",12,6.8,-2006
UCLA Pranks,https://www.imdb.com/title/tt4130886/?ref_=adv_li_tt,2014,"Short, Comedy",,,"Stars: Amelie Clare, James Pratt, Zara Sienna, Harmon Luc",29,8.5,-2014
Assassin's Creed: Dissent,https://www.imdb.com/title/tt6408580/?ref_=adv_li_tt,2017,"Short, Action",3 min,,"Stars: Chris Jai Alex, John Hennigan, Marissa Labog, Ashton Moio",11,5.5,-2017
47th Annie Awards,https://www.imdb.com/title/tt11679598/?ref_=adv_li_tt,2020,"Animation, Family",180 min,Not Rated,"Stars: Edward Asner, Diedrich Bader, James Baxter, Jerry Beck",0,0,-2020
The Mike & Ben Show,https://www.imdb.com/title/tt3170054/?ref_=adv_li_tt,1999,Comedy,30 min,,"Stars: Mike Pesses, Ben Larson, Sean Astin, Jonathan Cannon",0,0,-1999
Nickelodeon Kids' Choice Sports 2014,https://www.imdb.com/title/tt3889600/?ref_=adv_li_tt,2014,Sport,,,"Stars: Jasmine Alveran, Dante Brown, Dusan Brown, Christian Elizondo",9,8.9,-2014
