movies and shows filmed @ ucla,,,,,,,,,
Movies_name,Movies_url,Movies_releaseDate,Movies_genre,Movies_runTime,Movies_movieRating,Movies_movieStars,Movies_votes,Movies_rating,
The West Wing (EP: Mr. Frost),https://www.imdb.com/title/tt0200276/?ref_=adv_li_tt,2005,Drama,41 min,TV-14,"Stars: Alan Alda, Kristin Chenoweth, Dulé Hill, Allison Janney",409,7.9,-2005
The West Wing (EP: The Mommy Problem),https://www.imdb.com/title/tt0200276/?ref_=adv_li_tt,2005,Drama,42 min,TV-14,"Stars: Alan Alda, Kristin Chenoweth, Allison Janney, Mary McCormack",431,7.8,-2005
The West Wing (EP: The Ticket),https://www.imdb.com/title/tt0200276/?ref_=adv_li_tt,2005,Drama,42 min,TV-14,"Stars: Alan Alda, Kristin Chenoweth, Dulé Hill, Allison Janney",457,8,-2005
House (EP: Meaning),https://www.imdb.com/title/tt0412142/?ref_=adv_li_tt,2006,"Drama, Mystery",44 min,TV-PG,"Stars: Hugh Laurie, Lisa Edelstein, Omar Epps, Robert Sean Leonard","2,603",8.9,-2006
The New Steve Allen Show (EP: UCLA),https://www.imdb.com/title/tt0315039/?ref_=adv_li_tt,1961,"Comedy, Talk-Show",60 min,,"Stars: Steve Allen, Edie Adams, Frankie Avalon, Les Brown",0,0,-1961
Greek (EP: Pilot),https://www.imdb.com/title/tt0976014/?ref_=adv_li_tt,2007,"Comedy, Drama",51 min,TV-14,"Stars: Clark Duke, Scott Michael Foster, Spencer Grammer, Paul James",189,7.6,-2007
Greek (EP: Hazed and Confused),https://www.imdb.com/title/tt0976014/?ref_=adv_li_tt,2007,"Comedy, Drama",44 min,TV-14,"Stars: Clark Duke, Scott Michael Foster, Spencer Grammer, Paul James",142,7.3,-2007
Moonlight (EP: No Such Thing as Vampires),https://www.imdb.com/title/tt0955346/?ref_=adv_li_tt,2007,"Drama, Fantasy, Horror",60 min,TV-14,"Stars: Alex O'Loughlin, Sophia Myles, Shannyn Sossamon, Jason Dohring",466,7.7,-2007
Hootenanny (EP: 13 June),https://www.imdb.com/title/tt0352063/?ref_=adv_li_tt,1964,Music,30 min,,"Stars: Jack Linkletter, The Brothers Four, Jimmie Rodgers, Trini López",0,0,-1964
The Gertrude Berg Show (EP: The First Day),https://www.imdb.com/title/tt0054542/?ref_=adv_li_tt,1961,Comedy,30 min,,"Stars: Gertrude Berg, Cedric Hardwicke, Mary Wickes, Skip Ward",5,8.2,-1961
"The Bob Hope Show (EP: Shirley Jones, Elke Sommer, Jack Jones, David Janssen, Lew Acinador)",https://www.imdb.com/title/tt0045373/?ref_=adv_li_tt,1967,"Comedy, Family",60 min,,"Stars: Bob Hope, Kareem Abdul-Jabbar, Les Brown, David Janssen",0,0,-1967
Insight (EP: The Perennial Problem),https://www.imdb.com/title/tt0053510/?ref_=adv_li_tt,1961,Drama,30 min,,"Stars: Pat McGeehan, Darryl Hickman, Ellwood Kieser, Christine White",0,0,-1961
90210 (EP: Environmental Hazards),https://www.imdb.com/title/tt1225901/?ref_=adv_li_tt,2009,"Comedy, Drama, Romance",41 min,TV-14,"Stars: Rob Estes, Shenae Grimes-Beech, Tristan Mack Wilds, AnnaLynne McCord",113,7.3,-2009
Washington: Behind Closed Doors (EP: 2),https://www.imdb.com/title/tt0075597/?ref_=adv_li_tt,1977,Drama,120 min,,"Stars: Cliff Robertson, Jason Robards, Stefanie Powers, Robert Vaughn",8,9.2,-1977
1988 Presidential Debates (EP: 1.2),https://www.imdb.com/title/tt1742338/?ref_=adv_li_tt,1988,News,88 min,,"Stars: George Bush, Ann Compton, Michael Dukakis, Andrea Mitchell",0,0,-1988
How Do I Say This? (EP: I'm Gay!),https://www.imdb.com/title/tt1112286/?ref_=adv_li_tt,2007,Talk-Show,5 min,,"Stars: Jen Avant, Niketa Calame-Harris, Mary Cseh, Alex Davis",0,0,-2007
America Alive! (EP: Lucille Ball at UCLA),https://www.imdb.com/title/tt1220913/?ref_=adv_li_tt,1978,Talk-Show,60 min,,"Stars: Jack Linkletter, David Sheehan, Lucille Ball, Gary Morton",0,0,-1978
Dead of Night (EP: The Manson Tunnel Murder),https://www.imdb.com/title/tt2770592/?ref_=adv_li_tt,2013,Crime,44 min,TV-14,"Stars: Darrell Philip, Alfredo Antillon, Lydia Emily Archilbald, Gaylon Baker",0,0,-2013
Wet Hot American Summer: First Day of Camp (EP: Auditions),https://www.imdb.com/title/tt4341500/?ref_=adv_li_tt,2015,Comedy,38 min,TV-MA,"Stars: Michael Ian Black, Bradley Cooper, Janeane Garofalo, Christopher Meloni",519,7.7,-2015
In Concert (EP: 1.15),https://www.imdb.com/title/tt0498964/?ref_=adv_li_tt,1973,Music,90 min,,"Stars: Nitty Gritty Dirt Band, Black Oak Arkansas, Electric Light Orchestra, Lee Michaels",0,0,-1973
Inside America (EP: The Golden Girl),https://www.imdb.com/title/tt4942350/?ref_=adv_li_tt,1965,Family,30 min,,"Stars: John McGavin, Marc Jacobs",0,0,-1965
Jackie Robinson: Part One,https://www.imdb.com/title/tt5629498/?ref_=adv_li_tt,2016,"Documentary, Biography",115 min,TV-PG,"Stars: Keith David, Jamie Foxx, Jackie Robinson",33,7.7,-2016
Jackie Robinson: Part Two,https://www.imdb.com/title/tt5632100/?ref_=adv_li_tt,2016,"Documentary, Biography",115 min,TV-PG,"Stars: Keith David, Jamie Foxx, Jackie Robinson",29,7.8,-2016
California's Gold (EP: L.A. Adventures),https://www.imdb.com/title/tt0371436/?ref_=adv_li_tt,1991,Documentary,28 min,,"Stars: Huell Howser, Lyndon B. Johnson",0,0,-1991
California's Golden Parks (EP: Chautauqua),https://www.imdb.com/title/tt5922316/?ref_=adv_li_tt,2003,Documentary,28 min,,Star: Huell Howser,0,0,-2003
McDonaldland (EP: How I Met Grimace),https://www.imdb.com/title/tt6961982/?ref_=adv_li_tt,1981,"Short, Comedy, Family",40 min,,"Stars: King Moody, Frank Welker",0,0,-1981
