word,female,male,difference,difference_abs
stuff,0.10453143782992735,0.16419687204958744,0.059665434219660085,0.059665434219660085
said,0.21951601944284743,0.16009195024834777,-0.05942406919449966,0.05942406919449966
back,0.06794543458945278,0.12725257583843028,0.0593071412489775,0.0593071412489775
memorize,0.0313594313489782,0.0903082796272731,0.0589488482782949,0.0589488482782949
miss,0.08885172215543825,0.1477771848446287,0.05892546268919045,0.05892546268919045
midterm,0.6951340615690168,0.6362628791921514,-0.058871182376865394,0.058871182376865394
easier,0.1777034443108765,0.11904273223595091,-0.0586607120749256,0.0586607120749256
worst,0.0783985783724455,0.02052460900619843,-0.05787396936624707,0.05787396936624707
emails,0.0783985783724455,0.02052460900619843,-0.05787396936624707,0.05787396936624707
school,0.17247687241938012,0.11493781043471123,-0.05753906198466889,0.05753906198466889
obviously,0.057492290806460046,0.0,-0.057492290806460046,0.057492290806460046
independent,0.057492290806460046,0.0,-0.057492290806460046,0.057492290806460046
hardest,0.0,0.05746890521735561,0.05746890521735561,0.05746890521735561
analysis,0.0,0.05746890521735561,0.05746890521735561,0.05746890521735561
gon,0.0,0.05746890521735561,0.05746890521735561,0.05746890521735561
partial,0.0,0.05746890521735561,0.05746890521735561,0.05746890521735561
focus,0.02090628756598547,0.07799351422355405,0.05708722665756858,0.05708722665756858
advice,0.02090628756598547,0.07799351422355405,0.05708722665756858,0.05708722665756858
make,0.4808446140176659,0.5377447559623989,0.05690014194473303,0.05690014194473303
another,0.1306642972874092,0.07388859242231435,-0.05677570486509484,0.05677570486509484
genuinely,0.09930486593843098,0.1559870284471081,0.05668216250867712,0.05668216250867712
amount,0.1777034443108765,0.1231476540371906,-0.054555790273685914,0.054555790273685914
definitely,0.454711754560184,0.5090103033537211,0.05429854879353713,0.05429854879353713
similar,0.156797156744891,0.10262304503099216,-0.05417411171389884,0.05417411171389884
honestly,0.2508754507918256,0.19703624645950493,-0.05383920433232067,0.05383920433232067
opportunities,0.03658600324047458,0.0903082796272731,0.05372227638679852,0.05372227638679852
anything,0.17247687241938012,0.11904273223595091,-0.05343414018342921,0.05343414018342921
protected,0.0,0.05336398341611592,0.05336398341611592,0.05336398341611592
braybrook,0.0,0.05336398341611592,0.05336398341611592,0.05336398341611592
reactions,0.0,0.05336398341611592,0.05336398341611592,0.05336398341611592
life,0.057492290806460046,0.11083288863347153,0.053340597827011484,0.053340597827011484
recommend,0.5749229080646004,0.6280530355896721,0.053130127525071624,0.053130127525071624
advantage,0.02090628756598547,0.07388859242231435,0.052982304856328884,0.052982304856328884
worksheets,0.156797156744891,0.20935101186322402,0.05255385511833302,0.05255385511833302
often,0.16725030052788376,0.11493781043471123,-0.05231249009317253,0.05231249009317253
essentially,0.05226571891496368,0.0,-0.05226571891496368,0.05226571891496368
coronavirus,0.05226571891496368,0.0,-0.05226571891496368,0.05226571891496368
ls30a,0.05226571891496368,0.0,-0.05226571891496368,0.05226571891496368
•,0.05226571891496368,0.0,-0.05226571891496368,0.05226571891496368
useful,0.0627188626979564,0.11493781043471123,0.052218947736754825,0.052218947736754825
pandemic,0.08885172215543825,0.03694429621115718,-0.05190742594428108,0.05190742594428108
come,0.08362515026394188,0.13546241944090964,0.051837269176967765,0.051837269176967765
*,0.18293001620237287,0.13135749763966997,-0.051572518562702896,0.051572518562702896
curved,0.06794543458945278,0.016419687204958747,-0.05152574738449403,0.05152574738449403
subject,0.06794543458945278,0.11904273223595091,0.05109729764649813,0.05109729764649813
find,0.14111744107040192,0.0903082796272731,-0.05080916144312882,0.05080916144312882
change,0.0313594313489782,0.08209843602479372,0.05073900467581552,0.05073900467581552
'd,0.08885172215543825,0.13956734124214934,0.050715619086711086,0.050715619086711086
na,0.0156797156744891,0.06567874881983499,0.049999033145345886,0.049999033145345886
please,0.0156797156744891,0.06567874881983499,0.049999033145345886,0.049999033145345886
biology,0.11498458161292009,0.06567874881983499,-0.049305832793085105,0.049305832793085105
interest,0.0,0.04925906161487623,0.04925906161487623,0.04925906161487623
high,0.2090628756598547,0.16009195024834777,-0.04897092541150694,0.04897092541150694
reviews,0.15157058485339467,0.10262304503099216,-0.048947539822402505,0.048947539822402505
