,word,Male Count,Female Count,Difference,male,female,Difference %,Abs Difference %
618,chemistry,1504.0,354.0,1150.0,0.07870365040508309,0.04355529307544662,0.03514835732963647,0.03514835732963647
0,book,4911.0,1805.0,3106.0,0.25699044357670414,0.22208277966435358,0.03490766391235056,0.03490766391235056
1323,econ,1323.0,280.0,1043.0,0.06923200098798199,0.034450514296963435,0.034781486691018555,0.034781486691018555
87,difficult,6880.0,2644.0,4236.0,0.36002733695942263,0.32531128500418327,0.03471605195523936,0.03471605195523936
544,write,2987.0,1548.0,1439.0,0.15630838015956328,0.19046212904178356,-0.03415374888222028,0.03415374888222028
375,test,4014.0,1432.0,2582.0,0.21005083292952362,0.17618977311875586,0.03386105981076776,0.03386105981076776
44,easy,12911.0,5765.0,7146.0,0.6756268819016141,0.709311481864265,-0.03368459996265083,0.03368459996265083
1633,feedback,524.0,490.0,34.0,0.027420686710281608,0.060288400019686,-0.0328677133094044,0.0328677133094044
55,super,4147.0,2026.0,2121.0,0.21701066371667524,0.24927407844874258,-0.03226341473206734,0.03226341473206734
2117,assignment,1215.0,778.0,437.0,0.06358040907059571,0.09572321472513412,-0.032142805654538406,0.032142805654538406
5799,clicker,401.0,431.0,-30.0,0.020984151471036112,0.053029184507111575,-0.03204503303607546,0.03204503303607546
229,due,2253.0,1218.0,1035.0,0.11789848694325278,0.14985973719179094,-0.03196125024853816,0.03196125024853816
1311,graded,2069.0,1137.0,932.0,0.10826984886177986,0.13989369555588366,-0.0316238466941038,0.0316238466941038
15977,lady,14.0,260.0,-246.0,0.0007326137670685926,0.03198976327575176,-0.03125714950868317,0.03125714950868317
705,section,1937.0,1077.0,860.0,0.10136234762941883,0.13251144249224864,-0.03114909486282981,0.03114909486282981
1430,homeworks,1031.0,186.0,845.0,0.05395177098912278,0.022884984497268567,0.031066786491854213,0.031066786491854213
6,read,5117.0,2425.0,2692.0,0.2677703318635706,0.29836606132191545,-0.030595729458344878,0.030595729458344878
45,great,7784.0,3063.0,4721.0,0.40733325449013746,0.37686401889856785,0.03046923559156961,0.03046923559156961
37,short,2066.0,1126.0,940.0,0.10811286019740801,0.13854028249421724,-0.030427422296809226,0.030427422296809226
214,material,11695.0,4728.0,6967.0,0.6119941432762278,0.5817215414144397,0.03027260186178815,0.03027260186178815
504,jokes,803.0,98.0,705.0,0.042020632496862845,0.0120576800039372,0.029962952492925646,0.029962952492925646
380,learn,5248.0,1989.0,3259.0,0.274625503541141,0.24472168905950095,0.029903814481640062,0.029903814481640062
1003,loved,1124.0,720.0,404.0,0.05881841958464986,0.08858703676362026,-0.029768617178970398,0.029768617178970398
3389,french,130.0,297.0,-167.0,0.006802842122779787,0.03654215266499335,-0.029739310542213567,0.029739310542213567
1021,stuff,2310.0,747.0,1563.0,0.12088127156631777,0.09190905064225602,0.02897222092406175,0.02897222092406175
1000,workload,1555.0,896.0,659.0,0.08137245769940439,0.11024164575028299,-0.028869188050878597,0.028869188050878597
736,art,276.0,344.0,-68.0,0.014442957122209396,0.04232491756484079,-0.027881960442631394,0.027881960442631394
111,people,6084.0,2361.0,3723.0,0.3183730113460941,0.2904916580540381,0.027881353292055988,0.027881353292055988
46,ge,2457.0,1271.0,1186.0,0.128573716120538,0.15638072739800188,-0.027807011277463878,0.027807011277463878
31,10,2883.0,1449.0,1434.0,0.15086610646133944,0.17828141148678575,-0.027415305025446313,0.027415305025446313
30,required,1724.0,956.0,768.0,0.09021615245901811,0.11762389881391801,-0.027407746354899898,0.027407746354899898
168,slides,4642.0,2197.0,2445.0,0.242913793338029,0.2703134996801024,-0.027399706342073366,0.027399706342073366
887,two,4694.0,2219.0,2475.0,0.24563493018714094,0.2730203258034352,-0.027385395616294272,0.027385395616294272
729,felt,2169.0,1139.0,1030.0,0.11350280434084123,0.14013977065800481,-0.026636966317163585,0.026636966317163585
205,equations,676.0,76.0,600.0,0.035374779038454894,0.009350853880604361,0.026023925157850535,0.026023925157850535
1500,engaging,2766.0,1386.0,1380.0,0.14474354855083763,0.170530045769969,-0.02578649721913137,0.02578649721913137
261,based,2794.0,1390.0,1404.0,0.14620877608497482,0.17102219597421134,-0.02481341988923652,0.02481341988923652
1492,attendance,1026.0,638.0,388.0,0.05369012321516971,0.0784979575766524,-0.024807834361482692,0.024807834361482692
448,studies,445.0,390.0,55.0,0.02328665188182312,0.04798464491362764,-0.02469799303180452,0.02469799303180452
272,projects,1291.0,350.0,941.0,0.06755745523468235,0.043063142871204295,0.02449431236347805,0.02449431236347805
1385,psych,539.0,426.0,113.0,0.028205630032140813,0.052413996751808654,-0.02420836671966784,0.02420836671966784
841,old,1029.0,247.0,782.0,0.053847111879541554,0.030390275111964175,0.02345683676757738,0.02345683676757738
603,recommend,7339.0,3312.0,4027.0,0.38404660260831436,0.4075003691126532,-0.023453766504338835,0.023453766504338835
20,little,3725.0,1394.0,2331.0,0.19492759159503623,0.17151434617845368,0.023413245416582545,0.023413245416582545
1128,history,1734.0,925.0,809.0,0.09073944800692424,0.11380973473103992,-0.02307028672411568,0.02307028672411568
772,kind,2307.0,1168.0,1139.0,0.12072428290194592,0.14370785963876176,-0.022983576736815836,0.022983576736815836
129,said,3357.0,1245.0,2112.0,0.17567031543209036,0.1531817510704267,0.02248856436166366,0.02248856436166366
1442,5,2271.0,1148.0,1123.0,0.11884041892948384,0.14124710861755008,-0.022406689688066236,0.022406689688066236
23775,pires,13.0,185.0,-172.0,0.0006802842122779788,0.022761946946207985,-0.022081662733930005,0.022081662733930005
2204,proofs,663.0,103.0,560.0,0.03469449482617692,0.012672867759240121,0.0220216270669368,0.0220216270669368
204,...,4033.0,1541.0,2492.0,0.21104509447054526,0.18960086618435948,0.02144422828618578,0.02144422828618578
466,life,2065.0,704.0,1361.0,0.1080605306426174,0.08661843594665092,0.021442094695966488,0.021442094695966488
540,pages,1379.0,760.0,619.0,0.07216245605625636,0.0935085388060436,-0.021346082749787235,0.021346082749787235
