word,gender,percent
stuff,female,0.10453143782992735
chem,female,0.10453143782992735
information,difference,0.10446128106261406
good,difference,0.10369041480892388
want,difference,0.10326947420504409
phase,male,0.10262304503099216
reviews,male,0.10262304503099216
similar,male,0.10262304503099216
free,male,0.10262304503099216
5,difference,0.10157155170804877
study,difference,0.10138446699521327
final,difference,0.10115897842504132
prof,difference,0.09970993008732246
genuinely,female,0.09930486593843098
although,female,0.09930486593843098
free,female,0.09930486593843098
curve,female,0.09930486593843098
someone,female,0.09930486593843098
absolutely,female,0.09930486593843098
relatively,female,0.09930486593843098
enjoyed,female,0.09930486593843098
score,female,0.09930486593843098
goes,female,0.09930486593843098
weeks,female,0.09930486593843098
either,female,0.09930486593843098
readings,difference,0.09921132358201327
tests,difference,0.09902423886917781
essay,male,0.09851812322975247
ls,male,0.09851812322975247
already,male,0.09851812322975247
required,male,0.09851812322975247
score,male,0.09851812322975247
flipped,male,0.09851812322975247
straightforward,male,0.09851812322975247
literally,male,0.09851812322975247
--,male,0.09851812322975247
memorization,male,0.09851812322975247
section,male,0.09851812322975247
matter,male,0.09851812322975247
work,difference,0.09608022920228756
weekly,difference,0.09488842234471753
taught,male,0.09441320142851278
tas,male,0.09441320142851278
boring,male,0.09441320142851278
whole,male,0.09441320142851278
absolutely,male,0.09441320142851278
clearly,male,0.09441320142851278
doable,male,0.09441320142851278
goes,male,0.09441320142851278
time,difference,0.09435892111618786
whole,female,0.09407829404693462
dropped,female,0.09407829404693462
quite,female,0.09407829404693462
wo,female,0.09407829404693462
prof.,female,0.09407829404693462
short,female,0.09407829404693462
actual,female,0.09407829404693462
entire,female,0.09407829404693462
fun,female,0.09407829404693462
ccle,female,0.09407829404693462
knowledge,female,0.09407829404693462
write,female,0.09407829404693462
concept,female,0.09407829404693462
attendance,female,0.09407829404693462
confused,female,0.09407829404693462
resources,difference,0.09288648718936462
individual,male,0.0903082796272731
discussions,male,0.0903082796272731
explains,male,0.0903082796272731
used,male,0.0903082796272731
practical,male,0.0903082796272731
book,male,0.0903082796272731
..,male,0.0903082796272731
organic,male,0.0903082796272731
fall,male,0.0903082796272731
la,male,0.0903082796272731
practical,difference,0.0903082796272731
memorize,male,0.0903082796272731
organic,difference,0.0903082796272731
knows,male,0.0903082796272731
opportunities,male,0.0903082796272731
a.,male,0.0903082796272731
..,difference,0.0903082796272731
find,male,0.0903082796272731
finals,male,0.0903082796272731
30,difference,0.08925678630432972
'd,female,0.08885172215543825
mostly,female,0.08885172215543825
minutes,female,0.08885172215543825
doable,female,0.08885172215543825
care,female,0.08885172215543825
proofs,difference,0.08885172215543825
miss,female,0.08885172215543825
rather,female,0.08885172215543825
assignment,female,0.08885172215543825
opinion,female,0.08885172215543825
full,female,0.08885172215543825
sections,female,0.08885172215543825
hour,female,0.08885172215543825
lots,female,0.08885172215543825
along,female,0.08885172215543825
pandemic,female,0.08885172215543825
100,female,0.08885172215543825
straight,female,0.08885172215543825
proofs,female,0.08885172215543825
tas,difference,0.08851681477386009
difficult,difference,0.08791715677801698
teach,difference,0.08701348612381635
50,male,0.08620335782603342
assigned,male,0.08620335782603342
either,male,0.08620335782603342
behind,male,0.08620335782603342
opinion,male,0.08620335782603342
history,difference,0.08620335782603342
history,male,0.08620335782603342
4,male,0.08620335782603342
tell,male,0.08620335782603342
instead,male,0.08620335782603342
provides,male,0.08620335782603342
essays,male,0.08620335782603342
essays,difference,0.08620335782603342
organized,male,0.08620335782603342
rather,male,0.08620335782603342
bio,difference,0.08544000070645934
email,difference,0.08544000070645934
ever,difference,0.08539322952825047
explain,difference,0.08515186450309004
conceptual,difference,0.0851284789139856
live,difference,0.0851284789139856
extra,difference,0.08455971564136312
professor,difference,0.08442691124085251
pre-class,difference,0.08400682882372892
v,difference,0.08362515026394188
watching,female,0.08362515026394188
possible,female,0.08362515026394188
sheet,difference,0.08362515026394188
come,female,0.08362515026394188
gave,female,0.08362515026394188
explains,female,0.08362515026394188
sheet,female,0.08362515026394188
others,female,0.08362515026394188
resources,female,0.08362515026394188
means,female,0.08362515026394188
takes,female,0.08362515026394188
seems,female,0.08362515026394188
v,female,0.08362515026394188
already,female,0.08362515026394188
prepared,female,0.08362515026394188
fact,female,0.08362515026394188
passionate,male,0.08209843602479372
>,male,0.08209843602479372
heard,male,0.08209843602479372
annoying,male,0.08209843602479372
making,male,0.08209843602479372
1b,difference,0.08209843602479372
half,male,0.08209843602479372
1b,male,0.08209843602479372
mandatory,male,0.08209843602479372
change,male,0.08209843602479372
keep,male,0.08209843602479372
usually,male,0.08209843602479372
explain,male,0.08209843602479372
prepare,male,0.08209843602479372
b,male,0.08209843602479372
details,male,0.08209843602479372
phase,difference,0.0817167574650067
need,difference,0.08157644393038005
15,difference,0.08028358558227626
truly,difference,0.08021342881496298
usually,difference,0.07992529261159366
able,difference,0.07983175025517593
office,difference,0.07890469401187084
experience,female,0.0783985783724455
statistics,female,0.0783985783724455
making,female,0.0783985783724455
allowed,female,0.0783985783724455
tell,female,0.0783985783724455
matter,female,0.0783985783724455
talk,female,0.0783985783724455
format,female,0.0783985783724455
used,female,0.0783985783724455
asked,female,0.0783985783724455
instead,female,0.0783985783724455
came,female,0.0783985783724455
worst,female,0.0783985783724455
waste,female,0.0783985783724455
terms,female,0.0783985783724455
statistics,difference,0.0783985783724455
done,female,0.0783985783724455
emails,female,0.0783985783724455
two,difference,0.07811044216907621
looking,male,0.07799351422355405
advice,male,0.07799351422355405
quiz,male,0.07799351422355405
full,male,0.07799351422355405
30,male,0.07799351422355405
las,male,0.07799351422355405
show,male,0.07799351422355405
throughout,male,0.07799351422355405
format,male,0.07799351422355405
explaining,male,0.07799351422355405
focus,male,0.07799351422355405
personally,male,0.07799351422355405
talk,male,0.07799351422355405
seems,male,0.07799351422355405
easily,male,0.07799351422355405
ochem,difference,0.07799351422355405
knowledge,male,0.07799351422355405
ccle,male,0.07799351422355405
tries,male,0.07799351422355405
seem,male,0.07799351422355405
prof,male,0.07799351422355405
examples,male,0.07799351422355405
20,male,0.07799351422355405
ochem,male,0.07799351422355405
loved,male,0.07799351422355405
tough,difference,0.0779701286344496
studying,difference,0.07794674304534516
ge,difference,0.07794674304534516
essay,difference,0.07761183566376699
question,difference,0.0775416788964537
finals,difference,0.07694202090061066
project,difference,0.07691863531150624
teaches,difference,0.07610850701372326
top,difference,0.07536853548325365
says,difference,0.07536853548325365
helped,difference,0.07431704216031026
posts,difference,0.07424688539299695
without,male,0.07388859242231435
new,male,0.07388859242231435
another,male,0.07388859242231435
trying,male,0.07388859242231435
simple,male,0.07388859242231435
ones,male,0.07388859242231435
advantage,male,0.07388859242231435
ls7a,male,0.07388859242231435
style,male,0.07388859242231435
background,male,0.07388859242231435
nothing,male,0.07388859242231435
someone,male,0.07388859242231435
straight,male,0.07388859242231435
far,difference,0.07346014268431846
concepts,difference,0.07333570560468014
without,female,0.07317200648094915
