,word,count
639,handouts,8
640,uses,8
641,indian,8
642,preparing,8
643,wonderful,8
644,challenge,8
645,included,8
646,listen,8
647,otherwise,8
648,critical,8
649,night,8
650,occasionally,8
651,whether,8
652,quality,8
653,math,8
654,friend,8
655,main,8
656,unnecessary,8
657,passion,8
658,covers,8
659,wording,8
660,90,8
661,page,8
662,generally,8
663,anyway,8
664,puts,8
665,objectives,8
666,memes,8
667,tells,8
668,music,8
669,friends,8
670,perfect,8
671,correct,8
672,understood,8
673,plays,8
674,follow,8
675,accent,8
676,asking,8
677,pick,8
678,type,8
679,board,8
680,break,8
681,project,8
682,method,8
683,info,8
684,twice,8
685,head,8
686,hated,8
687,14c,8
688,regardless,8
689,tons,8
690,community,8
691,process,8
692,writing,8
693,resource,8
694,words,8
695,syllabus,8
696,clickers,8
697,processes,8
698,cared,8
699,require,8
700,quizlet,8
701,early,8
702,trick,8
703,presented,7
704,friendly,7
705,dropped,7
706,fantastic,7
707,related,7
708,begin,7
709,zoom,7
710,pts,7
711,tedious,7
712,yeah,7
713,missing,7
714,ways,7
715,website,7
716,complain,7
717,spent,7
718,totally,7
719,couple,7
720,9,7
721,10/10,7
722,idea,7
723,bearable,7
724,dr,7
725,quick,7
726,check,7
727,stem,7
728,forward,7
729,14b,7
730,somehow,7
731,freshman,7
732,tried,7
733,pain,7
734,room,7
735,consists,7
736,thank,7
737,concerned,7
738,current,7
739,and/or,7
740,crazy,7
741,genuine,7
742,generously,7
743,constantly,7
744,loves,7
745,home,7
746,saying,7
747,joke,7
748,concise,7
749,parts,7
750,lecturing,7
751,chat,7
752,told,7
753,guess,7
754,2-3,7
755,dont,7
756,finished,7
757,classmates,7
758,1a,7
759,politics,7
760,papers,7
761,save,7
762,ridiculous,7
763,certainly,7
764,stories,7
765,phases,7
766,unlike,7
767,along,7
768,thanks,7
769,decided,7
770,hate,7
771,plus,7
772,45,7
773,double,7
774,next,7
775,attended,7
776,averages,7
777,looked,7
778,enthusiastic,7
779,b.,7
780,6,7
781,specifically,7
782,actual,7
783,random,7
784,clarify,7
785,applications,7
786,culture,6
787,<,6
788,showing,6
789,compare,6
790,mentioned,6
791,addition,6
792,dedicated,6
793,sweet,6
794,patient,6
795,reviewed,6
796,prior,6
797,conceptual,6
798,rate,6
799,appreciated,6
800,discussed,6
801,name,6
802,b-,6
803,bonus,6
804,essential,6
805,boost,6
806,fill,6
807,reflection,6
808,skills,6
809,75,6
810,accuracy,6
811,asks,6
812,knew,6
813,proud,6
814,assignment,6
815,response,6
816,situations,6
817,rarely,6
818,bruincasted,6
819,exact,6
820,thorough,6
821,compared,6
822,ensure,6
823,years,6
824,formulas,6
825,unfortunately,6
826,meant,6
827,working,6
828,campus,6
829,rely,6
830,poorly,6
831,workshops,6
832,met,6
833,watched,6
834,matters,6
835,gets,6
836,leave,6
837,allow,6
838,homeworks,6
839,thinks,6
840,personal,6
841,passed,6
842,a+,6
843,phil,6
844,b+,6
845,focused,6
846,condescending,6
847,large,6
848,mainly,6
849,slightly,6
850,meet,6
851,push,6
852,requirement,6
853,well-being,6
854,shoutout,6
855,ready,6
856,additionally,6
857,light,6
858,considering,6
859,plan,6
860,appreciation,6
861,live,6
862,14,6
863,fully,6
864,via,6
865,towards,6
866,pdf,6
867,ability,5
868,track,5
869,cellular,5
870,common,5
871,fulfill,5
872,struggled,5
873,ok,5
874,meaning,5
875,highlight,5
876,memorized,5
877,speak,5
878,left,5
879,receive,5
880,ass,5
881,recorded,5
882,exactly,5
883,irrelevant,5
884,f,5
885,forgot,5
886,held,5
887,alone,5
888,solutions,5
889,engaged,5
890,sci,5
891,policy,5
892,level,5
893,plenty,5
894,received,5
895,accommodate,5
896,terrible,5
897,health,5
898,etc.,5
899,lin,5
900,answering,5
901,setting,5
902,afraid,5
903,problem-solving,5
904,slow,5
905,pre-class,5
906,challenged,5
907,lastly,5
908,proposal,5
909,vague,5
910,circumstances,5
911,appreciate,5
912,grader,5
913,calculus,5
914,1st,5
915,list,5
916,minimum,5
917,curves,5
918,nada,5
919,king,5
920,angel,5
921,respect,5
922,c-,5
923,hosted,5
924,ideas,5
925,daunting,5
926,synthesis,5
927,worst,5
928,dependent,5
929,highest,5
930,scale,5
931,mindset,5
932,onto,5
933,brings,5
934,dude,5
935,worksheet,5
936,deal,5
937,molecular,5
938,13,5
939,1c,5
940,create,5
941,bunch,5
942,lecturers,5
943,mass,5
944,language,5
945,breakdown,5
946,ee1,5
947,managed,5
948,events,5
949,depth,5
950,completing,5
951,listed,5
952,dumb,5
953,surveys,5
954,ace,5
955,watching,5
956,unnecessarily,5
957,click,5
958,present,5
959,trust,5
960,force,5
961,expects,5
962,ua,5
963,together,5
964,master,5
965,lets,5
966,poli,5
967,changed,5
968,stations,5
969,lose,5
970,normal,5
971,zone,5
972,become,5
973,directly,5
974,intro,5
975,sooo,5
976,feedback,5
977,white,5
978,likely,5
979,careful,5
980,suck,5
981,emails,5
982,spring,5
983,minute,5
984,mentions,5
985,completion,5
986,possibly,5
987,consisted,5
988,hear,5
989,close,5
990,support,5
991,lost,5
992,consist,5
993,informative,5
994,leniently,5
995,reference,5
996,nearly,5
997,needs,5
998,silly,5
999,easiest,5
1000,watch,5
1001,situation,5
1002,imagine,5
1003,covid-19,5
1004,preparation,4
1005,relatable,4
1006,knowledgable,4
1007,scared,4
1008,activities,4
1009,emphasizes,4
1010,happen,4
1011,spaced,4
1012,consider,4
1013,shown,4
1014,code,4
1015,barely,4
1016,somewhat,4
1017,run,4
1018,upper,4
1019,limited,4
1020,flexible,4
1021,knowledgeable,4
1022,tutorials,4
1023,supposed,4
1024,india,4
1025,forced,4
1026,philosophy,4
1027,mistake,4
1028,stupid,4
1029,effective,4
1030,labs,4
1031,skip,4
1032,starts,4
1033,ego,4
1034,5-6,4
1035,attempt,4
1036,hesitate,4
1037,legend,4
1038,nuclear,4
1039,horrible,4
1040,career,4
1041,alright,4
1042,asleep,4
1043,ids,4
1044,curved,4
1045,numbers,4
1046,caught,4
1047,within,4
1048,summaries,4
1049,showed,4
1050,earn,4
1051,ahead,4
1052,pop,4
1053,cheap,4
1054,station,4
1055,baugh,4
1056,tl,4
1057,identify,4
1058,downside,4
1059,participate,4
1060,assigns,4
1061,instructor,4
1062,hall,4
1063,insane,4
1064,encourage,4
1065,fundamental,4
1066,retake,4
1067,future,4
1068,instructors,4
1069,everyday,4
1070,o-chem,4
1071,connect,4
1072,cumulative,4
1073,anybody,4
1074,difficulties,4
1075,luckily,4
1076,minimal,4
1077,tools,4
1078,peers,4
1079,realize,4
1080,compassionate,4
1081,humor,4
1082,sell,4
1083,mixed,4
1084,695,4
1085,exciting,4
1086,cadavers,4
1087,weekend,4
1088,tbh,4
1089,department,4
1090,julian,4
1091,whenever,4
1092,accessible,4
1093,anatomy,4
1094,120,4
1095,telling,4
1096,obvious,4
1097,emphasis,4
1098,works,4
1099,youtube,4
1100,fast-paced,4
1101,game,4
1102,creates,4
1103,various,4
1104,encouraging,4
1105,personality,4
1106,reputation,4
1107,issue,4
1108,filling,4
1109,reasons,4
1110,describe,4
1111,helping,4
1112,skimming,4
1113,stated,4
1114,believes,4
1115,lower,4
1116,understands,4
1117,false,4
1118,standard,4
1119,mythology,4
1120,nature,4
1121,emailed,4
1122,busy,4
1123,gem,4
1124,springs,4
1125,portions,4
1126,historical,4
1127,bringing,4
1128,presents,4
1129,vocab,4
1130,bring,4
1131,disc,4
1132,instance,4
1133,deeper,4
1134,pointless,4
1135,dates,4
1136,aware,4
1137,bother,4
1138,speed,4
1139,mini,4
1140,learnt,4
1141,applying,4
1142,scored,4
1143,fault,4
1144,edition,4
1145,frustrating,4
1146,occasions,4
1147,crucial,4
1148,wait,4
1149,trouble,4
1150,promise,4
1151,books,4
1152,add,4
1153,pace,4
1154,proper,4
1155,literature,4
1156,didnt,4
1157,circuit,4
1158,muscles,4
1159,greatest,4
1160,overview,4
1161,count,4
1162,designed,4
1163,besides,4
1164,international,4
1165,five,4
1166,unit,4
1167,significant,4
1168,heavily,4
1169,agree,4
1170,weird,4
1171,suggest,4
1172,knowing,4
1173,holds,4
1174,40,4
1175,function,4
1176,3-4,4
1177,step,4
1178,decide,4
1179,seeing,4
1180,immensely,4
1181,justice,4
1182,worded,4
1183,sit,4
1184,anywhere,3
1185,majors,3
1186,powerpoint,3
1187,result,3
1188,cs,3
1189,68,3
1190,mt1,3
1191,30/90,3
1192,cracks,3
1193,horror,3
1194,call,3
1195,timed,3
1196,stressful,3
1197,extensive,3
1198,crunch,3
1199,model,3
1200,supplement,3
1201,feels,3
1202,deeply,3
1203,contact,3
1204,date,3
1205,somebody,3
1206,manual,3
1207,lucky,3
1208,individually,3
1209,sheets,3
1210,guest,3
1211,dense,3
1212,data,3
1213,amongst,3
1214,solely,3
1215,speeches,3
1216,particularly,3
1217,initially,3
1218,charge,3
1219,underestimate,3
1220,instructions,3
1221,tend,3
1222,concerns,3
1223,comparison,3
1224,sufficient,3
1225,majority,3
1226,capable,3
1227,grateful,3
1228,play,3
1229,challenges,3
1230,rewarding,3
1231,mere,3
1232,projects,3
1233,limit,3
1234,consideration,3
1235,gained,3
1236,haha,3
1237,builds,3
1238,finally,3
1239,hell,3
1240,counts,3
1241,lazazzera,3
1242,age,3
1243,drops,3
1244,social,3
1245,importantly,3
1246,trivial,3
1247,inside,3
1248,rare,3
1249,ride,3
1250,mins,3
1251,handout,3
1252,includes,3
1253,alot,3
1254,150,3
1255,wont,3
1256,concern,3
1257,significantly,3
1258,blanked,3
1259,abstract,3
1260,empathy,3
1261,hilarious,3
1262,theatre,3
1263,mastered,3
1264,letter,3
1265,friday,3
1266,sleep,3
1267,wholesome,3
1268,move,3
1269,assign,3
1270,lie,3
1271,played,3
1272,north,3
1273,attempts,3
1274,importance,3
1275,abilities,3
1276,python,3
1277,korea,3
1278,2020,3
1279,affect,3
1280,pushes,3
1281,shout,3
1282,moves,3
1283,bank,3
1284,sapling,3
1285,exaggerate,3
1286,sat,3
1287,cancelled,3
1288,utmost,3
1289,horribly,3
1290,greatly,3
1291,units,3
1292,academic,3
1293,became,3
1294,tho,3
1295,normally,3
1296,enjoying,3
1297,intuitive,3
1298,imo,3
1299,wire,3
1300,body,3
1301,sound,3
1302,reasonably,3
1303,balance,3
1304,comparing,3
1305,active,3
1306,reflect,3
1307,harp,3
1308,rubric,3
1309,relations,3
1310,asynchronous,3
1311,chug,3
1312,insanely,3
1313,plug,3
1314,passing,3
1315,story,3
1316,perform,3
1317,derivations,3
1318,doubt,3
1319,war,3
1320,complicated,3
1321,keeps,3
1322,interests,3
1323,ten,3
1324,unique,3
1325,adjusted,3
1326,political,3
1327,t/f,3
1328,changes,3
1329,algorithms,3
1330,tricks,3
1331,developed,3
1332,1-2,3
1333,sentences,3
1334,incorporate,3
1335,chose,3
1336,procrastinate,3
1337,additional,3
1338,true/false,3
1339,neither,3
1340,physical,3
1341,winter,3
1342,screenings,3
1343,relating,3
1344,forum,3
1345,doctor,3
1346,quote,3
1347,mental,3
1348,subjects,3
1349,-if,3
1350,encouraged,3
1351,positive,3
1352,excited,3
1353,began,3
1354,calculation,3
1355,pushed,3
1356,breeze,3
1357,term,3
1358,followed,3
1359,manner,3
1360,examinations,3
1361,improve,3
1362,tips,3
1363,comparable,3
1364,stellar,3
1365,familiar,3
1366,107,3
1367,unfair,3
1368,communicate,3
1369,blank,3
1370,leeway,3
1371,purely,3
1372,mit,3
1373,putting,3
1374,obscure,3
1375,submit,3
1376,sort,3
1377,digestible,3
1378,concrete,3
1379,struggle,3
1380,participation-,3
1381,honest,3
1382,prompt,3
1383,origins,3
1384,busywork,3
1385,depends,3
1386,rep,3
1387,76,3
1388,hold,3
1389,studies,3
1390,briefly,3
1391,staying,3
1392,stages,3
1393,hot,3
1394,preclass,3
1395,fan,3
1396,handle,3
1397,....,3
1398,copy,3
1399,72,3
1400,quantum,3
1401,beast,3
1402,assignments-,3
1403,93,3
1404,2nd,3
1405,models,3
1406,called,3
1407,forget,3
1408,formatted,3
1409,saw,3
1410,across,3
1411,tremendously,3
1412,principles,3
1413,expert,3
1414,35,3
1415,mc,3
1416,phone,3
1417,happened,3
1418,correlate,3
1419,jesus,3
1420,presence,3
1421,freshmen,3
1422,overwhelming,3
1423,hypothetical,3
1424,fuck,3
1425,brought,3
1426,midterms/final,3
1427,#,3
1428,grad,3
1429,refer,3
1430,recommended,3
1431,consuming,3
1432,t.a,3
1433,uploads,3
1434,methods,3
1435,properly,3
1436,stressed,3
1437,utilize,3
1438,draft,3
1439,emphasized,3
1440,paced,3
1441,surprisingly,3
1442,wrote,3
1443,bones,3
1444,aspect,3
1445,catch,3
1446,sad,3
1447,voice,3
1448,happens,3
1449,def,3
1450,distribution,3
1451,advise,3
1452,textbooks,3
1453,unpredictable,3
1454,space,3
1455,emphasize,3
1456,wow,3
1457,known,3
1458,theoretical,3
1459,awful,3
1460,ultimately,3
1461,fashion,3
1462,objective,3
1463,transition,3
1464,touched,3
1465,objects,3
1466,mediocre,3
1467,connections,3
1468,purchase,3
1469,formats,3
1470,advance,3
1471,references,3
1472,interactive,3
1473,necessarily,3
1474,pods,3
1475,boosted,3
1476,feeling,3
1477,recall,3
1478,lazy,3
1479,intense,3
1480,applied,3
1481,collaborative,3
1482,perfectly,3
1483,beneficial,3
1484,benefit,3
1485,walk,3
1486,picture,3
1487,prompts,3
1488,money,3
1489,account,2
1490,standing,2
1491,view,2
1492,crystal,2
1493,dog,2
1494,secondly,2
