class,difference,department,Class_Cap
"STATS 10 - CHA, M.",0.286250586,,"STATS 10 - CHA, M."
"LING 1 - TORRENCE, W.H.",0.28580981,,"LING 1 - TORRENCE, W.H."
"FRNCH 8 - JANSMA, K.",0.283104895,,"FRNCH 8 - JANSMA, K."
"PSYCH 20A - MANSOLF, M.A.",0.2817,,"PSYCH 20A - MANSOLF, M.A."
"MGMT 160 - WILSON, N.M.",0.280108982,,"MGMT 160 - WILSON, N.M."
"HIST M150B - STEVENSON, B.",0.27982983,,"HIST M150B - STEVENSON, B."
"STATS 100C - CHRISTOU, N.",0.275675676,,"STATS 100C - CHRISTOU, N."
"MGMT 120B - LU, M.",0.274623647,,"MGMT 120B - LU, M."
"FILM TV 33 - GRIFFIN, N.E.",0.274155556,,"FILM TV 33 - GRIFFIN, N.E."
"PSYCH 119V - ZAIDEL, D.",0.2737,,"PSYCH 119V - ZAIDEL, D."
"LIFESCI 7B - KANE, T.L.",0.2719,,"LIFESCI 7B - KANE, T.L."
"HIST 13C - KELLEY, R.D.",0.267966803,,"HIST 13C - KELLEY, R.D."
"EE BIOL 111 - GORLITSKY, L.E.",0.266182917,,"EE BIOL 111 - GORLITSKY, L.E."
"HLT POL 100 - MAY, J.W.",0.265837838,,"HLT POL 100 - MAY, J.W."
"EPS SCI 121F - YIN, A.",0.25989626,,"EPS SCI 121F - YIN, A."
"PSYCH 135 - WARD, A.H.",0.259885586,,"PSYCH 135 - WARD, A.H."
"EPS SCI 1 - ESPOSITO, R.",0.256591491,,"EPS SCI 1 - ESPOSITO, R."
"FILM TV 4 - TRICE, J.N.",0.25628477,,"FILM TV 4 - TRICE, J.N."
"SPAN 119 - RODRIGUEZ, J.N.",0.25,,"SPAN 119 - RODRIGUEZ, J.N."
"FRNCH 1 - JANSMA, K.",0.243622222,,"FRNCH 1 - JANSMA, K."
"PHYSCI 122 - DAUER, E.A.",0.242442442,,"PHYSCI 122 - DAUER, E.A."
"MAT SCI 104 - GOORSKY, M.S.",0.241371471,,"MAT SCI 104 - GOORSKY, M.S."
"STATS 102B - CHEN, M.S.",0.226594106,,"STATS 102B - CHEN, M.S."
"PSYCH 120A - RISSMAN, J.A.",0.225226825,,"PSYCH 120A - RISSMAN, J.A."
"COMM 156 - PETERSON, S.M.",0.217902204,,"COMM 156 - PETERSON, S.M."
"GLBL ST 1 - THIES, M.F.",0.21652012,,"GLBL ST 1 - THIES, M.F."
"INTL DV 110 - LOFCHIE, M.F.",0.2153,,"INTL DV 110 - LOFCHIE, M.F."
"EE BIOL 109 - KANE, T.L.",0.213567732,,"EE BIOL 109 - KANE, T.L."
"MCD BIO 60 - GALLAGHER, K.J.",0.211615112,,"MCD BIO 60 - GALLAGHER, K.J."
"PSYCTRY M182 - BILDER, R.M.",0.207792208,,"PSYCTRY M182 - BILDER, R.M."
"ENGCOMP 2 - MARTINEZ, A.M.",0.2059,,"ENGCOMP 2 - MARTINEZ, A.M."
"MSC IND 101 - CARLOS, C.",0.205029579,,"MSC IND 101 - CARLOS, C."
ENVIRON 163 - GIOTTONINI BADILLA,0.200566667,,ENVIRON 163 - GIOTTONINI BADILLA
"STATS 101A - ESFANDIARI, M.M.",0.195232368,,"STATS 101A - ESFANDIARI, M.M."
"MGMT 142B - RAVETCH, D.S.",0.1918,,"MGMT 142B - RAVETCH, D.S."
"GERMAN 59 - FUCHS, R.T.",0.186578422,,"GERMAN 59 - FUCHS, R.T."
"THEATER 10 - GORSHEIN, D.M.",0.186,,"THEATER 10 - GORSHEIN, D.M."
"ENGCOMP 3 - MENDOZA, R.E.",0.1822,,"ENGCOMP 3 - MENDOZA, R.E."
"C&EE M20 - GAO, E.X.",0.1764,,"C&EE M20 - GAO, E.X."
"THEATER 72 - DANIEL, P.M.",0.176199299,,"THEATER 72 - DANIEL, P.M."
"NURSING 13 - CARPENTER, C.L.",0.175970176,,"NURSING 13 - CARPENTER, C.L."
"THEATER 110 - GORSHEIN, D.M.",0.1742,,"THEATER 110 - GORSHEIN, D.M."
"COM HLT 48 - MUTH, N.D.",0.1722,,"COM HLT 48 - MUTH, N.D."
"COMM 148 - FERAMISCO, C.",0.169051869,,"COMM 148 - FERAMISCO, C."
"POL SCI 150 - SIMON, J.D.",0.164893865,,"POL SCI 150 - SIMON, J.D."
"COMM 109 - PETERSON, S.M.",0.155998256,,"COMM 109 - PETERSON, S.M."
"MAT SCI 250B - YANG, J.",0.155,,"MAT SCI 250B - YANG, J."
"ENGCOMP 3 - SUSSMAN, D.B.",0.1497003,,"ENGCOMP 3 - SUSSMAN, D.B."
"FILM TV 146 - BOYLE, B.",0.148591994,,"FILM TV 146 - BOYLE, B."
"EC ENGR 3 - BRIGGS, D.M.",0.147096047,,"EC ENGR 3 - BRIGGS, D.M."
"MECH&AE 171A - KIM, D.D.",0.146941059,,"MECH&AE 171A - KIM, D.D."
"EPS SCI 9 - RUBIN, A.E.",0.146399401,,"EPS SCI 9 - RUBIN, A.E."
"MSC IND 115 - MOSELEY, A.M.",0.143043043,,"MSC IND 115 - MOSELEY, A.M."
"NURSING 3 - CARPENTER, C.L.",0.141911489,,"NURSING 3 - CARPENTER, C.L."
"GENDER 102 - JADALI, S.",0.141264164,,"GENDER 102 - JADALI, S."
"EE BIOL 162L - SACK, L.",0.1401,,"EE BIOL 162L - SACK, L."
"POL SCI 10 - JOINES, J.A.",0.1375,,"POL SCI 10 - JOINES, J.A."
"MGMT 180 - KINBERG, M.H.",0.1305,,"MGMT 180 - KINBERG, M.H."
"ANTHRO 143 - BOUM, A.",0.1257,,"ANTHRO 143 - BOUM, A."
"ENGCOMP 100W - BALL, J.G.",0.125,,"ENGCOMP 100W - BALL, J.G."
"LIFESCI 30A - VENUGOPAL, S.",0.122569231,,"LIFESCI 30A - VENUGOPAL, S."
"FILM TV 33 - HUANG, G.J.",0.1225,,"FILM TV 33 - HUANG, G.J."
"PSYCH 137C - KARNEY, B.R.",0.1219,,"PSYCH 137C - KARNEY, B.R."
"SRB CRO 103 - LEJKO-LACAN, V.",0.121451695,,"SRB CRO 103 - LEJKO-LACAN, V."
"ASTR 5 - MASHIAN, N.",0.120618113,,"ASTR 5 - MASHIAN, N."
"ENGR 110 - BULU-TACIROGLU, M.",0.115695395,,"ENGR 110 - BULU-TACIROGLU, M."
"ARCH&UD CM153 - WELLS, W.R.",0.1131,,"ARCH&UD CM153 - WELLS, W.R."
"PSYCH 189 - HARRELL, S.P.",0.1124,,"PSYCH 189 - HARRELL, S.P."
"HIST 179B - ZELENY, C.L.",0.112,,"HIST 179B - ZELENY, C.L."
"ROMANIA 103 - GALATEANU, G.",0.111726274,,"ROMANIA 103 - GALATEANU, G."
"MECH&AE 150B - ZHONG, X.",0.1113,,"MECH&AE 150B - ZHONG, X."
"STATS 20 - TSIANG, M.",0.11030671,,"STATS 20 - TSIANG, M."
"STATS 13 - TSIANG, M.",0.101957858,,"STATS 13 - TSIANG, M."
"MGMT 295A - 0THANSON, D.A.",0.0948,,"MGMT 295A - 0THANSON, D.A."
"HIST M155 - GANTNER, D.C.",0.092552248,,"HIST M155 - GANTNER, D.C."
"I A STD 195CE - THIES, M.F.",0.0911,,"I A STD 195CE - THIES, M.F."
"LIFESCI 7C - KHANKAN, R.R.",0.089510611,,"LIFESCI 7C - KHANKAN, R.R."
"CHEM 14A - PRADO, J.R.",0.087952953,,"CHEM 14A - PRADO, J.R."
"NURSING 410 - SHINNICK, M.A.",0.0871,,"NURSING 410 - SHINNICK, M.A."
"MGMT 488 - SCHEINROCK, J.I.",0.085757658,,"MGMT 488 - SCHEINROCK, J.I."
"COMM 10 - SUMAN, M.W.",0.0818,,"COMM 10 - SUMAN, M.W."
"PSYCH 129E - FREDERICK, D.A.",0.079220779,,"PSYCH 129E - FREDERICK, D.A."
"JAPAN 75 - KANESAKA, K.K.",0.078435035,,"JAPAN 75 - KANESAKA, K.K."
"MIMG 158 - MILLER, J.H.",0.077838078,,"MIMG 158 - MILLER, J.H."
"THEATER 50 - DANIEL, P.M.",0.0778,,"THEATER 50 - DANIEL, P.M."
"EDUC 127 - MITCHELL, K.",0.072668531,,"EDUC 127 - MITCHELL, K."
"ENGR 211 - BULU-TACIROGLU, M.",0.067816783,,"ENGR 211 - BULU-TACIROGLU, M."
"EE BIOL 120 - GORLITSKY, L.E.",0.066753247,,"EE BIOL 120 - GORLITSKY, L.E."
"NURSING 175 - FREDRICKSON, J.M.",0.066,,"NURSING 175 - FREDRICKSON, J.M."
"EC ENGR 205A - LAUB, A.J.",0.0622,,"EC ENGR 205A - LAUB, A.J."
"ENVIRON M153 - WELLS, W.R.",0.0609,,"ENVIRON M153 - WELLS, W.R."
"FILM TV 183C - LIEBING, H.",0.0605,,"FILM TV 183C - LIEBING, H."
"DIS STD 101W - SOLONE, C.J.",0.057,,"DIS STD 101W - SOLONE, C.J."
"SOC GEN 5 - KELTY, C.M.",0.055598098,,"SOC GEN 5 - KELTY, C.M."
"EE BIOL 109L - KANE, T.L.",0.054472527,,"EE BIOL 109L - KANE, T.L."
"COM SCI M51A - GHAFORYFARD, P.",0.054254254,,"COM SCI M51A - GHAFORYFARD, P."
"EDUC 187 - HUH, C.R.",0.052625275,,"EDUC 187 - HUH, C.R."
"THEATER 72 - MAY0RD, J.E.",0.0507,,"THEATER 72 - MAY0RD, J.E."
"EPIDEM 100 - HECK, J.E.",0.050461139,,"EPIDEM 100 - HECK, J.E."
"I A STD 31 - WOODS, D.L.",0.0498,,"I A STD 31 - WOODS, D.L."
"PHYSCI 166 - ESDIN, J.",0.0497,,"PHYSCI 166 - ESDIN, J."
"MGMT 180 - FRANCIS, A.M.",0.0484,,"MGMT 180 - FRANCIS, A.M."
