,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
Political Science,0.3200883002207506,0.6799116997792495,0.0,0.05518763796909493,0.02207505518763797,0.033112582781456956,0.0,0.11037527593818985,0.7792494481236203,1.0
Program in Computing,0.25641025641025644,0.7435897435897436,0.0,0.25641025641025644,0.0,0.25641025641025644,0.0,0.0,0.48717948717948717,1.0
Psychology,0.5569800569800569,0.443019943019943,0.0,0.18518518518518517,0.02849002849002849,0.054131054131054124,0.0,0.0,0.7321937321937322,1.0
Public Health,0.25,0.7499999999999999,0.0,0.0,0.0,0.0,0.0,0.25,0.7499999999999999,1.0
Public Policy,0.33593749999999994,0.6640625,0.15625,0.234375,0.078125,0.0,0.0,0.0,0.53125,1.0
Scandanavian Section,0.35,0.65,0.0,0.35,0.0,0.0,0.0,0.0,0.65,1.0
"School-wide Programs, LSPA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Slavic, East European & Eurasian Langs",0.6153846153846154,0.38461538461538464,0.0,0.0,0.0,0.0,0.0,0.24786324786324787,0.7521367521367522,1.0
Social Welfare,0.735,0.265,0.0,0.1,0.16499999999999998,0.1,0.0,0.1,0.5349999999999999,1.0
Sociology,0.44999999999999996,0.55,0.05555555555555555,0.08333333333333333,0.05555555555555555,0.07777777777777778,0.0,0.013888888888888888,0.7138888888888889,1.0
Spanish & Portuguese,0.45569620253164556,0.5443037974683543,0.0,0.03164556962025316,0.0,0.5316455696202531,0.0,0.06962025316455696,0.36708860759493667,1.0
Statistics,0.3333333333333333,0.6666666666666666,0.0,0.3111111111111111,0.0,0.06666666666666667,0.0,0.28888888888888886,0.3333333333333333,1.0
Study of Religion,0.36363636363636365,0.6363636363636362,0.0,0.0,0.0,0.0,0.0,0.6363636363636362,0.36363636363636365,1.0
Theater,0.4252873563218391,0.574712643678161,0.02873563218390805,0.09195402298850576,0.0574712643678161,0.10919540229885058,0.0,0.034482758620689655,0.67816091954023,1.0
Urban Planning,0.4108108108108108,0.5891891891891892,0.0,0.1891891891891892,0.05405405405405406,0.05405405405405406,0.0,0.08108108108108109,0.6216216216216216,1.0
World Arts & Cultures/Dance,0.5086206896551725,0.48706896551724144,0.0,0.20258620689655174,0.07758620689655173,0.07327586206896551,0.0,0.0,0.646551724137931,1.0
Writing Program,0.7017543859649124,0.29824561403508776,0.0,0.02255639097744361,0.0,0.09022556390977444,0.0,0.15037593984962405,0.7117794486215538,1.0
