GEONAME,Pop_Tot,Prop_18y,Prop_64y,Prop_65y+,Prop_Blk,Prop_Lat,Prop_Whi,Prop_Asi,Prop_Ami,Prop_NHO,Prop_FPL1,Prop_FPL2,Prop_forb,Prop_Eng,LE,Prop_prsc,Prop_3rdg,Prop_edLH,Prop_edHG,Prop_edSC,Prop_edCG,MHI,No_libr,Prop_empl,Prop_emsu,Prop_vote,Rte_resp,Prop_PA,Prop_groc,Prop_60mi,No_farm,No_EBT,Prop_foin,No_CalF,Rte_CalF,Prop_FRPM,Prop_obse,Prop_DM,Rte_coin,Rte_brin,Prop_smok,Rte_luca,Rte_COPD,Rte_CVD,Prop_hbu1,Prop_hbu2,Prop_ownr,Prop_rentr,No_hless,Prop_asth,Rte_crim,Rte_hom,Rte_alco,Propt_envi,No_gasw,Rte_te17,Rte_te19,Prop_LBW,Rte_IMR,Prop_1stt,Prop_depr,Rte_suic,Rte_UOD,Rte_syin,Rte_goin,Rte_hiv,Prop_uinC,Prop_uinA,Prop_duinC,Prop_duinA,Propt_HPI,Rte_mein,Rte_cein,Rte_luin,Prop_fru,Prop_bev,Prop_hyp,Prop_marj,Prop_HI,Prop_grad,Prop_trua
Alhambra,86705,0.1831,0.6504,0.1665,0.0133,0.3435,0.0913,0.5498,0.0014,0.0007,0.1303,0.3356,0.5021,0.2112,84.55,0.665,0.5353,0.1934,0.228,0.2497,0.3289,53582,1,0.94,0.385,0.6235,0.7706,0.2731,0.5239,0.111,1,1,**,"15,799",0.3300,0.6598,0.1358,0.1040,45.7963,125.9019,0.1272,25.4872,21.7535,170.914,0.447,0.232,0.404,0.596,64,0.0449,168,**,12,6,2,2.1042,9.1180,0.0815,3.1022,0.8614,0.0523,7,3,14,66,208,0.0598,0.207,0.0929,0.2291,43.3,**,**,34.6,0.2,0.2,0.2,0.1,0.0,1.0,0.1
Altadena,42525,0.2072,0.6221,0.1707,0.2374,0.2905,0.4129,0.0553,0.0019,0.002,0.0988,0.2281,0.2021,0.0379,82.11,0.74,0.3942,0.105,0.1397,0.2918,0.4635,86050,2,0.92,0.7335,0.736,1.0975,0.3482,0.4524,0.12,1,1,**,-,-,0.559,0.2441,0.1358,38.3670,189.2143,0.1129,25.2189,28.4887,211.035,0.401,0.193,0.719,0.281,58,0.0915,162,**,6,62,0,3.9610,7.6173,0.0703,**,0.8859,0.1099,10,8,19,119,330,0.0333,0.1745,0.0660,0.0924,75.5,33.8,**,35.3,0.1,0.3,0.3,0.2,0.1,0.9,0.4
Arcadia,56992,0.1794,0.6389,0.1817,0.0115,0.125,0.2304,0.6315,0.0014,0.0003,0.0774,0.2042,0.4877,0.1888,85.42,0.675,0.7927,0.0789,0.1601,0.243,0.518,79934,1,0.941,0.5691,0.6271,1.9654,0.2662,0.511,0.131,0,0,**,"6,638",0.1800,0.2066,0.0570,0.0819,32.9547,145.2497,0.1285,22.5416,22.0580,173.371,0.402,0.214,0.596,0.404,12,**,146,**,19,27,2,**,**,0.059,**,0.8588,0.0493,9,**,8,46,56,0.0564,0.1245,0.1232,0.1876,73.4,22.0,**,29.5,0.1,0.2,0.2,0,0.0,1.0,0.1
Azusa,49479,0.2507,0.6538,0.0956,0.0292,0.6838,0.1938,0.0895,0.0024,0.0013,0.1636,0.3935,0.3082,0.1156,81.16,0.439,0.339,0.2232,0.2932,0.2873,0.1962,53135,1,0.927,0.6201,0.6569,1.0168,0.3759,0.5997,0.121,0,0,0.2006,"8,868",0.5800,0.806,0.2607,0.1198,31.3309,134.9485,0.1174,34.8652,33.1891,218.754,0.474,0.24,0.527,0.473,55,0.0660,354,6,14,48,0,3.5084,9.2802,0.0681,**,0.881,0.0895,8,**,27,116,196,0.0708,0.2404,0.1117,0.1918,34.2,**,**,29.7,0.1,0.4,0.2,0.1,0.0,0.9,0
Baldwin Park,74438,0.2623,0.633,0.1047,0.0099,0.7934,0.0432,0.1514,0.0012,0.0008,0.1591,0.4116,0.4453,0.1908,82.99,0.47,0.3227,0.374,0.317,0.1962,0.1128,51742,1,0.898,0.5712,0.6318,0.3406,0.3164,0.5444,0.125,1,1,0.2531,"14,206",0.7400,0.8729,0.2652,0.1307,43.8584,110.0378,0.1045,28.2446,31.2708,195.522,0.498,0.227,0.572,0.428,111,0.0904,391,5,10,9,0,7.3997,20.1220,0.0856,4.1881,0.8827,0.0544,**,5,21,98,171,0.0582,0.3259,0.0704,0.1874,22.3,**,**,26.5,0.1,0.4,0.3,0.1,0.0,1.0,0.4
Bell,36595,0.2893,0.6249,0.0857,0.0061,0.9286,0.0569,0.0063,0.002,0,0.2588,0.6647,0.4271,0.2669,85.13,0.516,0.3996,0.526,0.2014,0.1999,0.0726,37269,1,0.898,0.5668,0.5949,0.179,0.3109,0.84,0.109,0,0,**,"9,999",0.6200,0.8783,0.2578,0.1154,**,83.4336,0.1007,14.3564,24.8039,185.426,0.61,0.289,0.276,0.724,477,0.0900,637,**,13,45,8,7.1903,20.7412,0.0547,6.0196,0.8531,0.0755,**,**,28,96,238,0.0956,0.3944,0.0917,0.2622,10.4,**,**,**,0.1,0.4,0.2,0.1,0.0,0.9,0.4
Bell Gardens,42817,0.3026,0.6274,0.07,0.005,0.9584,0.028,0.0055,0.0022,0.0008,0.2693,0.6934,0.4291,0.2324,82.04,0.387,0.2544,0.5573,0.2447,0.1444,0.0536,37882,1,0.91,0.5962,0.6262,1.6529,0.2853,0.6476,0.088,0,0,**,"13,611",0.5700,0.8616,0.2860,0.1225,**,97.3729,0.0787,22.6937,31.7055,213.819,0.603,0.299,0.229,0.771,104,0.0708,362,7,14,53,1,8.6491,23.2702,0.0567,5.3696,0.8629,0.0983,**,**,28,141,249,0.1189,0.4379,0.0830,0.2766,4.1,**,**,**,0.1,0.4,0.2,0.1,0.0,0.9,0.2
Bellflower,76057,0.2529,0.6383,0.1088,0.1507,0.5185,0.1939,0.1258,0.0031,0.008,0.161,0.411,0.2921,0.1100,79.97,0.502,0.3391,0.2239,0.2887,0.3211,0.1663,48823,1,0.921,0.5926,0.6212,0.5783,0.3432,0.6473,0.118,1,1,0.2101,"16,288",0.6100,0.8131,0.2469,0.1252,34.1840,125.1093,0.1236,32.3806,44.7159,245.325,0.506,0.252,0.392,0.608,241,0.1210,515,6,12,58,6,5.9556,17.0547,0.0669,2.2706,0.8343,0.0631,8,7,27,180,228,0.0747,0.2479,0.0846,0.1491,27.9,14.7,**,39.3,0.2,0.5,0.4,0.1,0.0,1.0,0.1
Beverly Hills,34652,0.1574,0.6406,0.2021,0.0209,0.0591,0.8212,0.0976,0.0009,0.0003,0.0801,0.1604,0.3841,0.1077,86.4,0.865,0.7148,0.0505,0.128,0.2106,0.6109,97327,1,0.926,0.7946,0.6971,2.6984,0.4601,0.7074,0.049,1,1,0.1682,"3,124",0.2200,0.081,**,**,32.9537,193.4906,0.1013,22.7174,13.5569,138.562,0.461,0.261,0.412,0.588,16,0.0680,306,**,46,43,34,**,**,0.0734,**,0.9444,0.1924,8,**,28,178,661,0.0463,0.1136,**,0.1591,88.1,51.2,**,34.5,0.2,0.1,0.4,0.2,0.0,1.0,0.2
Burbank,104692,0.182,0.6683,0.1497,0.0249,0.2551,0.5918,0.1256,0.0018,0.0007,0.092,0.1665,0.3399,0.0977,82.38,0.646,0.6266,0.1133,0.1816,0.3219,0.3831,66076,3,0.924,0.7382,0.6991,8.2215,0.3791,0.6632,0.091,1,1,0.1494,"12,924",0.4500,0.3271,0.1746,0.0714,44.6239,169.5883,0.1367,32.2028,28.5550,201.684,0.47,0.237,0.407,0.593,167,0.0598,201,**,22,5,3,**,3.5168,0.0731,2.9756,0.8618,0.099,8,6,22,99,268,0.0554,0.1817,0.1022,0.149,62.2,20.3,**,42.7,0.2,0.3,0.2,0.2,0.0,1.0,0.2
Calabasas,24182,0.2031,0.6378,0.1591,0.0152,0.0662,0.8261,0.0911,0.0013,0.0002,0.0562,0.1255,0.2618,0.0360,85.94,0.891,0.6655,0.0302,0.1202,0.2129,0.6367,106050,1,0.942,0.7923,0.7553,3.2629,0.3828,0.2029,0.206,1,1,**,"2,141",0.1800,0.0864,0.1094,**,**,203.2586,0.0867,18.3726,20.6233,127.516,0.512,0.273,0.702,0.298,0,**,62,**,19,85,9,**,**,0.0952,**,0.9493,0.1412,**,**,-,47,-,0.053,0.0683,0.1819,0.0629,91.6,58.7,**,32.0,0.1,0.2,0.2,0.1,0.0,1.0,0.1
Carson,93739,0.2123,0.6251,0.1626,0.2261,0.3963,0.0726,0.2757,0.0016,0.0276,0.0933,0.2366,0.3489,0.0895,81.32,0.575,0.3943,0.2043,0.2207,0.3311,0.2439,72421,2,0.895,0.7791,0.6214,1.5635,0.2853,0.5553,0.095,1,1,**,"11,547",0.6600,0.7483,0.4100,0.1274,39.4651,163.9927,0.1387,31.9024,24.3131,240.486,0.4,0.175,0.758,0.242,369,0.1288,539,7,10,88,585,2.6302,10.9416,0.0534,5.3619,0.8226,0.057,6,5,22,160,247,0.068,0.1984,0.0862,0.1798,58.0,**,**,45.6,0.1,0.4,0.3,0.1,0.0,0.9,0.4
Cerritos,49250,0.1645,0.6091,0.2264,0.0696,0.1253,0.1562,0.6453,0.0011,0.0025,0.0398,0.0891,0.4471,0.1142,87.17,0.648,0.6811,0.0831,0.1464,0.2886,0.4819,90321,1,0.945,0.67,0.6752,3.5413,0.2409,0.6596,0.128,1,1,**,"2,558",0.4000,0.3473,0.2342,0.0948,29.6165,147.7139,0.1277,23.2584,21.2042,166.02,0.355,0.15,0.791,0.209,27,0.0738,225,**,16,83,4,**,**,0.0588,**,0.8871,0.041,7,**,-,36,52,0.0643,0.1344,**,0.1425,79.7,13.2,**,36.5,0.1,0.3,0.2,0,0.0,1.0,0.2
Claremont,36121,0.1511,0.6661,0.1828,0.0445,0.2041,0.6072,0.1409,0.0021,0.001,0.0631,0.1195,0.1956,0.0462,83.76,0.739,0.6348,0.0679,0.1059,0.264,0.5622,88523,1,0.931,0.7769,0.7288,3.4392,0.4057,0.4345,0.139,1,1,0.1646,"2,676",0.4000,0.3541,0.2753,0.0920,32.2663,157.9290,0.1102,16.7379,30.6704,204.4231,0.38,0.168,0.659,0.341,27,0.0902,163,**,18,1,1,**,**,0.0548,**,0.8935,0.1043,10,5,-,41,118,0.0584,0.0828,0.0480,0.1043,78.3,39.9,**,23.5,0.2,0.1,0.3,0.2,0.0,1.0,0.2
Compton,100952,0.3002,0.6156,0.0842,0.3118,0.6684,0.008,0.0022,0.002,0.0076,0.2525,0.5794,0.304,0.1131,77.14,0.458,0.34,0.3992,0.2588,0.2691,0.0729,43507,1,0.882,0.623,0.5683,0.6071,0.3203,0.6898,0.113,0,0,0.2510,"25,396",0.9500,0.8131,0.3991,0.1167,38.8687,125.0410,0.1221,38.0189,34.7437,279.073,0.546,0.286,0.537,0.463,500,0.0823,1118,21,8,61,89,12.0595,30.5257,0.0781,7.0093,0.8355,0.0594,5,4,28,307,397,0.0778,0.3143,0.0814,0.2296,9.0,**,**,45.6,0.1,0.6,0.3,0.1,0.1,0.9,0.3
Covina,49132,0.22,0.643,0.1369,0.0393,0.5338,0.2989,0.1235,0.0027,0.0018,0.1058,0.3078,0.2257,0.0563,81.99,0.601,0.5051,0.1402,0.2309,0.3702,0.2587,64813,1,0.914,0.6739,0.6769,1.2059,0.3553,0.7041,0.172,0,0,0.2548,"5,671",0.7300,0.6384,0.2623,0.1187,48.7307,132.1902,0.1268,30.8841,42.3529,220.575,0.46,0.194,0.563,0.437,53,0.0946,334,**,19,30,2,5.0832,9.0111,0.0876,**,0.8979,0.0716,11,6,17,108,242,0.0338,0.1727,0.0971,0.159,51.7,22.1,**,45.6,0.2,0.4,0.3,0.1,0.0,1.0,0.4
Cudahy,24526,0.3009,0.6292,0.0699,0.0096,0.9585,0.0245,0.0049,0.0022,0.0003,0.2996,0.7451,0.4631,0.3028,85.5,0.53,0.1616,0.5712,0.2217,0.1607,0.0464,36429,1,0.901,0.5525,0.5773,0.6756,0.2835,0.8685,0.12,0,0,**,"8,099",0.6900,0.8735,0.3199,0.1014,**,**,0.0879,**,**,178.25,0.594,0.306,0.162,0.838,119,0.0885,310,**,9,64,2,10.0034,19.6620,0.0767,**,0.8497,0.1121,**,**,23,108,286,0.0924,0.456,**,0.2666,11.1,**,**,**,0.2,0.6,0.2,0.1,0.0,0.9,0.4
Culver City,40351,0.1871,0.6403,0.1726,0.0967,0.2358,0.5031,0.1605,0.0017,0.0022,0.0751,0.1395,0.23,0.0498,82.42,0.765,0.6426,0.078,0.1146,0.2733,0.5341,81189,1,0.936,0.7355,0.7657,2.7826,0.3683,0.7078,0.054,0,0,0.1202,"4,216",0.3200,0.3061,0.2200,0.0735,46.0762,159.5757,0.0845,27.5182,24.8045,199.1613,0.397,0.203,0.551,0.449,122,0.0927,528,**,38,44,141,**,**,0.0866,**,0.9238,0.1076,6,**,16,104,234,0.0343,0.1336,**,0.1239,81.1,28.6,**,37.7,0.2,0.2,0.4,0.2,0.0,1.0,0.2
Diamond Bar,57128,0.1682,0.6676,0.1641,0.0394,0.2023,0.2051,0.5504,0.0012,0.0016,0.0527,0.1565,0.4244,0.1325,85.4,0.753,0.6937,0.0786,0.1444,0.2678,0.5092,89221,1,0.925,0.679,0.6789,5.0352,0.2794,0.315,0.181,0,0,**,"4,290",0.3000,0.2095,0.2552,0.0875,40.8312,138.8597,0.1105,19.2937,16.7680,157.551,0.388,0.182,0.779,0.221,6,0.0379,116,**,12,28,9,**,**,0.0535,**,0.8797,0.0463,6,**,8,56,49,0.0568,0.1516,**,0.1361,74.8,17.3,**,29.9,0.1,0.3,0.2,0,0.0,1.0,0.2
Downey,113812,0.2404,0.6391,0.1205,0.0373,0.7163,0.1725,0.0705,0.0019,0.0015,0.1093,0.3624,0.3444,0.1078,82.28,0.579,0.5045,0.2388,0.2496,0.2979,0.2137,62897,1,0.937,0.6288,0.6615,0.8987,0.3573,0.6441,0.098,2,2,0.1612,"16,345",0.5800,0.6772,0.2790,0.0997,40.6136,132.7150,0.1057,24.1366,33.6580,199.459,0.476,0.216,0.508,0.492,209,0.0761,328,6,14,45,24,4.5727,11.1460,0.0707,2.8345,0.8534,0.0546,6,4,17,98,248,0.0926,0.2389,0.1183,0.1582,48.9,18.0,**,32.8,0.2,0.4,0.2,0.1,0.0,0.9,0.3
East Los Angeles,125802,0.2859,0.614,0.1001,0.0029,0.9691,0.0185,0.008,0.0014,0.0001,0.2642,0.6581,0.4201,0.2539,82.74,0.462,0.305,0.5332,0.226,0.1793,0.0615,38766,4,0.886,0.5668,0.6156,0.727,0.3341,0.5296,0.092,1,1,0.2774,-,-,0.88,0.2778,0.0934,35.5877,107.0034,0.1197,15.0779,19.1737,196.955,0.52,0.27,0.336,0.664,288,0.0694,480,9,12,3,13,11.2604,24.8505,0.0679,4.8690,0.8548,0.0764,3,6,29,109,341,0.1287,0.4284,0.1159,0.3261,6.2,**,**,16.6,0.1,0.6,0.2,0.1,**,0.7,0.3
El Monte,113636,0.2595,0.6259,0.1146,0.0046,0.6863,0.0459,0.2612,0.0012,0.0008,0.2233,0.5251,0.5027,0.3411,83.73,0.348,0.3464,0.422,0.2728,0.1883,0.1169,38085,2,0.91,0.4634,0.5985,0.4043,0.2928,0.6775,0.125,0,0,0.2546,"28,939",0.8100,0.9134,0.2377,0.1236,40.2272,96.2295,0.1708,26.0729,29.5670,175.216,0.564,0.308,0.403,0.597,269,0.0808,394,5,10,17,4,8.8246,25.4412,0.0609,4.0423,0.8794,0.0473,7,6,26,103,265,0.0625,0.3901,0.1308,0.2863,11.8,**,**,36.2,0.1,0.5,0.2,0.1,**,0.9,0.3
Florence-Graham,65822,0.3145,0.6147,0.0708,0.0893,0.9012,0.0074,0.0011,0.0007,0.0002,0.31,0.8009,0.4329,0.2654,81.35,0.446,0.2903,0.5855,0.2333,0.1368,0.0444,33934,2,0.906,0.56,0.5415,1.0327,0.2987,0.9701,0.133,0,0,0.2669,-,-,0.9171,0.3126,0.1116,**,68.8508,0.0943,27.5802,24.0950,234.991,0.621,0.359,0.342,0.658,543,0.0839,801,13,13,37,0,14.3885,35.4070,0.0692,4.6823,0.8224,0.0653,5,4,32,217,390,0.0973,0.4163,0.1008,0.2772,2.7,**,**,28.3,0.1,0.5,0.2,0.1,0.1,0.9,0.4
Gardena,60677,0.215,0.6208,0.1642,0.2395,0.3927,0.0911,0.2682,0.0016,0.0068,0.1401,0.2806,0.3372,0.1451,83.14,0.585,0.4269,0.1818,0.2703,0.3161,0.2318,47674,2,0.909,0.5511,0.6081,0.8815,0.3079,0.7461,0.076,1,1,0.1637,"10,190",0.6300,0.8264,0.2770,0.0991,41.5258,137.5013,0.1694,30.0268,26.9784,208.034,0.5,0.249,0.512,0.488,186,0.1100,557,9,26,76,9,4.3985,14.5151,0.0768,5.7971,0.8339,0.0584,5,5,20,182,313,0.0768,0.2485,0.1018,0.1901,41.9,**,**,38.7,0.1,0.5,0.3,0.1,**,0.8,0.4
Glendale,201604,0.169,0.6548,0.1762,0.012,0.1755,0.6382,0.1727,0.001,0.0005,0.1318,0.2943,0.5444,0.2522,83.72,0.619,0.5486,0.1564,0.1908,0.2738,0.379,52574,8,0.913,0.7561,0.6266,8.3736,0.3518,0.7505,0.098,1,0,**,"32,146",0.6300,0.5596,0.1516,0.0716,45.7181,148.4812,0.1632,27.8965,24.4717,181.471,0.531,0.3,0.353,0.647,240,0.0640,113,1,17,1,0,1.4771,4.5868,0.068,3.5200,0.8887,0.098,7,4,21,74,274,0.0635,0.2182,0.1145,0.145,46.1,15.5,7.8,37.4,0.1,0.3,0.2,0.2,**,0.9,0.2
Glendora,52231,0.1942,0.643,0.1628,0.0164,0.3181,0.5811,0.0817,0.0019,0.0008,0.0784,0.1503,0.1653,0.0410,80.9,0.652,0.6205,0.0985,0.1888,0.3878,0.325,75148,1,0.924,0.7731,0.7426,1.3558,0.371,0.4304,0.179,0,0,**,"5,725",0.4100,0.2895,0.3262,0.1045,37.3048,151.2367,0.1253,28.9930,46.2529,228.829,0.408,0.181,0.689,0.311,270,0.0729,134,**,13,57,0,**,4.1010,0.094,**,0.8801,0.106,8,9,12,62,54,0.0306,0.1261,0.1210,0.137,68.5,39.9,**,37.3,0.1,0.2,0.3,0.1,0.0,1.0,0.1
Hacienda Heights,55018,0.1853,0.6291,0.1856,0.0121,0.4616,0.1375,0.3863,0.0011,0.0014,0.0688,0.2101,0.4174,0.1764,86,0.519,0.5679,0.142,0.2175,0.2816,0.3589,78039,1,0.944,0.5112,0.6747,5.292,0.3174,0.2674,0.17,0,0,**,-,-,0.579,0.2631,0.1174,40.6415,120.8066,0.1593,20.5686,15.2852,156.03,0.399,0.168,0.769,0.231,220,0.0651,169,**,9,31,45,2.5483,7.2202,0.0569,**,0.8892,0.0492,5,**,11,53,41,0.0533,0.1948,0.0989,0.164,60.1,13.3,**,27.5,0.1,0.3,0.3,0,0.0,0.9,0.2
Hawthorne,87772,0.2627,0.6418,0.0954,0.2813,0.5288,0.1069,0.0687,0.0021,0.0123,0.1863,0.4591,0.3477,0.1339,80.43,0.451,0.4374,0.2619,0.2454,0.3023,0.1904,44504,2,0.929,0.5499,0.6251,0.5395,0.334,0.8672,0.109,0,0,0.1904,"19,198",0.6400,0.7611,0.2351,0.1182,32.7702,141.3439,0.1131,28.9169,31.6675,244.015,0.529,0.269,0.266,0.734,100,0.0947,745,9,11,69,66,4.7716,15.5419,0.0961,4.8975,0.8365,0.0793,8,8,25,201,411,0.0888,0.2963,0.1143,0.1298,29.3,**,**,37.8,0.2,0.4,0.3,0.2,0.0,0.7,0.4
Huntington Park,59509,0.2832,0.6317,0.0852,0.004,0.9713,0.0182,0.0058,0.0005,0.0002,0.2732,0.7259,0.4896,0.3153,83.19,0.544,0.354,0.5865,0.1939,0.162,0.0576,34887,1,0.893,0.5476,0.6033,0.8334,0.2833,0.8284,0.122,1,1,0.2509,"18,312",0.5500,0.899,0.2987,0.0924,37.9726,88.8007,0.1025,14.3111,18.3194,198.152,0.624,0.324,0.24,0.76,83,0.0493,778,6,16,52,1,10.7114,21.5827,0.0515,6.2543,0.8648,0.0855,**,**,31,131,441,0.0815,0.4198,0.1127,0.2966,4.8,**,**,**,0.1,0.6,0.2,0.1,**,0.9,0.4
Inglewood,116361,0.2464,0.639,0.1146,0.4279,0.5273,0.0272,0.0123,0.0019,0.0034,0.2066,0.3893,0.2782,0.1121,81,0.576,0.2652,0.2747,0.2058,0.3375,0.182,42044,2,0.883,0.6817,0.5963,0.8031,0.337,0.6384,0.114,1,1,0.2461,"27,520",0.6000,0.7838,0.3211,0.1239,36.2575,129.7539,0.1565,29.9203,26.1687,260.547,0.563,0.299,0.351,0.649,502,**,713,15,13,74,129,5.4230,17.0578,0.0787,5.1698,0.8355,0.0746,4,5,38,270,535,0.0936,0.2925,0.1194,0.1595,27.2,**,**,42.4,0.2,0.5,0.3,0.2,0.1,0.7,0.3
La Mirada,49465,0.1869,0.6485,0.1646,0.021,0.4062,0.3773,0.1902,0.0027,0.0025,0.0555,0.1708,0.2458,0.0893,82.87,0.56,0.5844,0.1125,0.2335,0.3562,0.2978,79330,1,0.938,0.6816,0.7178,3.8743,0.3439,0.4794,0.087,0,0,0.1115,"4,505",0.4000,0.4749,0.4034,0.0922,37.0812,173.6206,0.1267,32.2079,28.7413,192.967,0.383,0.167,0.774,0.226,33,0.0723,172,**,11,79,119,**,3.8446,0.0628,**,0.9157,0.0764,9,7,12,61,70,0.0798,0.1388,0.0548,0.1013,65.0,30.4,**,50.3,0.1,0.2,0.3,0.1,0.0,1.0,0.2
La Puente,40377,0.2548,0.6347,0.1105,0.0117,0.8491,0.0473,0.089,0.0021,0.0008,0.1289,0.3765,0.4093,0.1638,83.46,0.299,0.3843,0.3954,0.2954,0.2171,0.0921,56512,2,0.93,0.5836,0.6518,0.5398,0.3255,0.481,0.124,0,0,**,"5,339",0.0000,0.8715,0.3235,0.1197,36.2311,140.5173,0.1137,20.5912,26.7327,174.94,0.446,0.202,0.574,0.426,49,**,324,**,14,11,11,8.7202,21.2875,0.084,4.5186,0.9043,0.0592,6,7,21,124,235,0.0548,0.3326,0.0752,0.1867,28.6,**,**,29.1,0.1,0.4,0.2,0.1,0.0,1.0,0.2
