GEONAME,Pop_Tot,Prop_18y,Prop_64y,Prop_65y+,Prop_Blk,Prop_Lat,Prop_Whi,Prop_Asi,Prop_Ami,Prop_NHO,Prop_FPL1,Prop_FPL2,Prop_forb,Prop_Eng,LE,Prop_prsc,Prop_3rdg,Prop_edLH,Prop_edHG,Prop_edSC,Prop_edCG,MHI,No_libr,Prop_empl,Prop_emsu,Prop_vote,Rte_resp,Prop_PA,Prop_groc,Prop_60mi,No_farm,No_EBT,Prop_foin,No_CalF,Rte_CalF,Prop_FRPM,Prop_obse,Prop_DM,Rte_coin,Rte_brin,Prop_smok,Rte_luca,Rte_COPD,Rte_CVD,Prop_hbu1,Prop_hbu2,Prop_ownr,Prop_rentr,No_hless,Prop_asth,Rte_crim,Rte_hom,Rte_alco,Propt_envi,No_gasw,Rte_te17,Rte_te19,Prop_LBW,Rte_IMR,Prop_1stt,Prop_depr,Rte_suic,Rte_UOD,Rte_syin,Rte_goin,Rte_hiv,Prop_uinC,Prop_uinA,Prop_duinC,Prop_duinA,Propt_HPI,Rte_mein,Rte_cein,Rte_luin,Prop_fru,Prop_bev,Prop_hyp,Prop_marj,Prop_HI,Prop_grad,Prop_trua
"Los Angeles, City of",4032993,0.2221,0.6574,0.1205,0.0912,0.5004,0.2888,0.1168,0.0017,0.0011,0.2031,0.4241,0.382,0.1575,82.47,0.556,0.3758,0.2453,0.1963,0.2387,0.3197,50205,72,0.912,0.6514,0.6215,4.72,0.3631,0.6835,0.121,58,52,0.2172,"884,921",0.5600,0.771,0.2193,0.1006,37.0161,136.0800,0.1238,25.8314,23.7393,205.099,0.531,0.287,0.368,0.632,28464,0.0616,620,6,15,21,"5,192",6.1900,15.1265,0.0744,4.4088,0.8483,0.0925,8,7,45,230,703,0.0755,0.2867,0.1348,0.2245,28.6,20.3,8.2,35.7,0.2,0.4,0.2,0.1,0.0,0.8,0.3
Lynwood,72189,0.2946,0.6337,0.0718,0.0996,0.8695,0.0217,0.0056,0.0011,0.0026,0.2306,0.5889,0.3896,0.1797,81.34,0.508,0.353,0.4723,0.2633,0.2043,0.0601,43109,1,0.906,0.595,0.6174,0.5712,0.3135,0.567,0.12,0,0,0.2004,"18,177",0.6900,0.9316,0.3225,0.1195,38.4788,106.1501,0.0813,35.9518,35.4839,225.387,0.605,0.297,0.435,0.565,118,0.0813,650,7,10,71,1,8.1989,25.6546,0.0629,4.2032,0.8807,0.062,**,5,16,99,282,0.135,0.3781,0.1054,0.1837,13.9,**,**,40.7,0.1,0.4,0.2,0.1,0.0,0.9,0.2
Manhattan Beach,35170,0.2216,0.6243,0.1541,0.0086,0.0746,0.8182,0.096,0.0014,0.0013,0.0304,0.0652,0.1152,**,83.97,0.819,0.8305,0.0216,0.0637,0.1792,0.7355,143527,1,0.962,0.7585,0.775,4.5573,0.4435,0.6644,0.106,1,0,**,"1,675",0.0900,0.0312,0.0857,0.0405,**,213.2899,0.0894,24.6435,28.3617,133.239,0.331,0.133,0.681,0.319,4,**,151,**,33,92,6,**,**,0.04,**,0.9683,0.1697,10,**,-,45,72,0.023,0.0396,**,0.0948,98.6,92.4,**,38.8,0.2,0.2,0.3,0.1,**,0.9,0.3
Maywood,28130,0.298,0.622,0.08,0.0018,0.9734,0.021,0.0024,0.0009,0.0005,0.2805,0.7223,0.4524,0.3100,86.76,0.406,0.3739,0.5884,0.2159,0.1484,0.0473,35582,1,0.929,0.617,0.6575,0.2552,0.2864,0.916,0.092,0,0,**,"8,485",0.5500,0.877,0.2925,0.0929,**,**,0.09,28.0273,**,173.533,0.577,0.317,0.256,0.744,125,0.0785,434,**,16,65,1,11.6746,25.5381,0.046,**,0.8682,0.072,**,**,18,94,299,0.0698,0.4209,0.1104,0.2689,13.2,**,**,**,0.1,0.6,0.2,0.1,**,0.9,0.3
Monrovia,37467,0.2219,0.6383,0.1398,0.0657,0.3988,0.4106,0.1203,0.0023,0.0023,0.0986,0.2435,0.2526,0.0737,81.54,0.66,0.4785,0.112,0.1973,0.3252,0.3656,70358,1,0.909,0.6827,0.724,0.9083,0.3717,0.6666,0.144,1,1,0.1849,"4,258",0.5800,0.5873,0.1778,0.1051,43.5855,169.0734,0.1187,31.1158,38.8853,215.725,0.429,0.188,0.487,0.513,61,0.0817,160,**,22,51,0,**,10.9514,0.0833,**,0.8756,0.0966,6,**,12,69,263,0.0369,0.1973,0.1147,0.1467,67.1,30.2,**,41.5,0.2,0.3,0.2,0.1,0.0,0.8,0.1
Montebello,63732,0.2361,0.6114,0.1525,0.0066,0.7986,0.0844,0.1081,0.0016,0.0008,0.1408,0.413,0.3748,0.2185,82.95,0.452,0.3147,0.283,0.2912,0.2386,0.1872,45875,2,0.937,0.5548,0.6634,1.306,0.3659,0.4436,0.182,0,0,**,"10,482",0.7300,0.8046,0.2713,0.1048,43.9160,116.6006,0.1367,22.3166,21.6667,198.065,0.496,0.248,0.454,0.546,52,0.0638,336,4,14,52,710,5.6013,14.5283,0.0744,4.1376,0.8868,0.0506,5,5,25,114,286,0.0583,0.3236,0.1551,0.2238,25.8,**,**,29.6,0.2,0.6,0.2,0.1,0.0,0.9,0.2
Monterey Park,61121,0.1724,0.6155,0.2121,0.0033,0.2743,0.0458,0.6754,0.001,0.0003,0.1414,0.4133,0.536,0.2847,86.3,0.6,0.5832,0.2127,0.2443,0.2385,0.3044,54097,1,0.912,0.4655,0.6048,1.4436,0.236,0.5435,0.086,1,1,0.1807,"10,927",0.3300,0.6206,0.1058,0.1222,42.0053,111.8035,0.2038,24.2785,14.6091,145.13,0.454,0.238,0.52,0.48,7,0.0671,214,**,14,4,31,**,5.1257,0.0572,**,0.8655,0.0442,**,**,12,59,155,0.0676,0.2322,0.0856,0.3448,32.1,**,**,31.5,0.1,0.2,0.3,0,**,-,0
Norwalk,104869,0.2438,0.6379,0.1184,0.043,0.699,0.1224,0.1291,0.0026,0.0038,0.1261,0.4175,0.345,0.1505,82.23,0.507,0.4035,0.2651,0.2713,0.3096,0.1539,59756,2,0.922,0.5834,0.654,0.847,0.3289,0.7391,0.113,1,1,0.1773,"16,543",0.7400,0.8032,0.3187,0.1256,33.0638,127.7068,0.1237,24.4707,39.3429,227.83,0.447,0.201,0.631,0.369,256,0.0836,400,6,10,50,26,6.2743,16.3330,0.0607,2.9793,0.8649,0.0603,7,5,27,108,259,0.0787,0.2698,0.0813,0.1645,39.1,11.8,**,29.7,0.1,0.4,0.3,0.1,0.0,1.0,0.2
Palmdale,159690,0.2807,0.6328,0.0864,0.1545,0.5498,0.2498,0.0413,0.0031,0.0014,0.2018,0.4764,0.2624,0.1000,78.51,0.409,0.2855,0.2583,0.2592,0.3341,0.1483,52392,1,0.887,0.6881,0.613,1.6178,0.3971,0.2773,0.318,0,0,0.2637,"39,465",0.6700,0.7506,0.3054,0.1217,41.2809,128.0919,0.1705,34.3424,55.9405,236.912,0.489,0.238,0.632,0.368,212,0.1634,436,6,9,95,5,7.8934,22.3927,0.0925,5.4717,0.687,0.0964,10,7,12,131,227,0.0729,0.2223,0.1108,0.2521,24.4,19.0,**,43.4,0.1,0.4,0.3,0.1,0.1,0.8,0.3
Paramount,56225,0.2872,0.632,0.0807,0.1208,0.7865,0.0541,0.0295,0.0015,0.0076,0.2237,0.5509,0.3771,0.1615,80.54,0.375,0.3279,0.4206,0.2585,0.2388,0.0822,45792,1,0.912,0.5769,0.5774,0.9541,0.3351,0.5658,0.109,1,1,0.2555,"13,746",0.6500,0.939,0.2782,0.1288,40.2059,115.8592,0.1116,34.1295,39.3605,219.086,0.52,0.272,0.39,0.61,50,0.1464,557,9,12,76,4,7.4554,20.9076,0.0648,4.8042,0.8473,0.073,**,5,22,132,260,0.0853,0.3231,0.0963,0.1964,18.1,**,**,41.0,0.1,0.5,0.2,0.1,0.1,0.9,0.4
