"ENROLLMENT","SUBJECT_AREA","CATLG_NBR","SECT_NBR","GRADE","GRD_COUNT","ENRL_TOT","INSTR_NAME","INSTR_CD","TITLE","ENROL_TERM","LG_numeric"
"19F","PSYCH","100A","2","A+",47,271,"MONTOYA, A.K.","1","Psychological Statistics","255",4
"19F","PSYCH","100A","2","A",65,271,"MONTOYA, A.K.","1","Psychological Statistics","255",4
"19F","PSYCH","100A","2","A-",41,271,"MONTOYA, A.K.","1","Psychological Statistics","255",3.7
"","","","","",NA,NA,"","","","",0
"19F","PSYCH","100A","2","B+",33,271,"MONTOYA, A.K.","1","Psychological Statistics","255",3.3
"19F","PSYCH","100A","2","B",27,271,"MONTOYA, A.K.","1","Psychological Statistics","255",3
"19F","PSYCH","100A","2","B-",20,271,"MONTOYA, A.K.","1","Psychological Statistics","255",2.7
"19F","PSYCH","100A","2","C+",12,271,"MONTOYA, A.K.","1","Psychological Statistics","255",2.3
"19F","PSYCH","100A","2","C",9,271,"MONTOYA, A.K.","1","Psychological Statistics","255",2
"19F","PSYCH","100A","2","C-",8,271,"MONTOYA, A.K.","1","Psychological Statistics","255",1.7
"19F","PSYCH","100A","2","D",6,271,"MONTOYA, A.K.","1","Psychological Statistics","255",1
"19F","PSYCH","100A","2","F",3,271,"MONTOYA, A.K.","1","Psychological Statistics","255",0
"19F","PSYCH","100B","1","A+",3,376,"FIRSTENBERG, I.","1","Research Methods in Psychology","255",4
"19F","PSYCH","100B","1","A",45,376,"FIRSTENBERG, I.","1","Research Methods in Psychology","255",4
"19F","PSYCH","100B","1","A-",33,376,"FIRSTENBERG, I.","1","Research Methods in Psychology","255",3.7
"19F","PSYCH","100B","1","B+",50,376,"FIRSTENBERG, I.","1","Research Methods in Psychology","255",3.3
"19F","PSYCH","100B","1","B",88,376,"FIRSTENBERG, I.","1","Research Methods in Psychology","255",3
"19F","PSYCH","100B","1","B-",51,376,"FIRSTENBERG, I.","1","Research Methods in Psychology","255",2.7
"19F","PSYCH","100B","1","C+",48,376,"FIRSTENBERG, I.","1","Research Methods in Psychology","255",2.3
"19F","PSYCH","100B","1","C",48,376,"FIRSTENBERG, I.","1","Research Methods in Psychology","255",2
