"unitid","institution name","year","EFFY2023.Level and degree/certificate-seeking status of student","EFFY2023.Undergraduate or graduate level of student","EFFY2023.Grand total","EFFY2023.Grand total men","EFFY2023.Grand total women","EFFY2023.Hispanic or Latino total","EFFY2023.Hispanic or Latino men","EFFY2023.Hispanic or Latino women","IDX_E12"
"110592","California State University-Los Angeles","2023","All students, Graduate","Graduate","4169","1553","2616","2330","789","1541","-2"
"110592","California State University-Los Angeles","2023","All students, Undergraduate, Other degree/certificate-seeking, Transfer-ins","Not applicable, undergraduate detail","3266","1337","1929","2233","863","1370","-2"
"110592","California State University-Los Angeles","2023","All students, Undergraduate, Other degree/certificate-seeking, Continuing","Not applicable, undergraduate detail","17323","7131","10192","13137","5092","8045","-2"
"110592","California State University-Los Angeles","2023","Full-time students total","Not applicable, undergraduate detail","22035","8950","13085","16222","6255","9967","-2"
"110592","California State University-Los Angeles","2023","Full-time students, Undergraduate total","Not applicable, undergraduate detail","19467","8034","11433","14797","5806","8991","-2"
"110592","California State University-Los Angeles","2023","Full-time students, Undergraduate, Degree/certificate-seeking total","Not applicable, undergraduate detail","19431","8016","11415","14794","5803","8991","-2"
"110592","California State University-Los Angeles","2023","Full-time students, Undergraduate, Degree/certificate-seeking, First-time","Not applicable, undergraduate detail","3720","1690","2030","3001","1360","1641","-2"
"110592","California State University-Los Angeles","2023","Full-time students, Undergraduate, Degree/certificate-seeking, Other degree/certificate-seeking","Not applicable, undergraduate detail","15711","6326","9385","11793","4443","7350","-2"
"110592","California State University-Los Angeles","2023","Full-time students, Undergraduate, Non-degree/certificate-seeking","Not applicable, undergraduate detail","36","18","18","3","3","0","-2"
"110592","California State University-Los Angeles","2023","Full-time students, Graduate","Not applicable, undergraduate detail","2568","916","1652","1425","449","976","-2"
"110592","California State University-Los Angeles","2023","Full-time students, Undergraduate, Other degree/certificate-seeking, Transfer-ins","Not applicable, undergraduate detail","2524","1037","1487","1720","667","1053","-2"
"110592","California State University-Los Angeles","2023","Full-time students, Undergraduate, Other degree/certificate-seeking, Continuing","Not applicable, undergraduate detail","13187","5289","7898","10073","3776","6297","-2"
"110592","California State University-Los Angeles","2023","Part-time students total","Not applicable, undergraduate detail","6785","2910","3875","4719","1953","2766","-2"
"110592","California State University-Los Angeles","2023","Part-time students, Undergraduate total","Not applicable, undergraduate detail","5184","2273","2911","3814","1613","2201","-2"
"110592","California State University-Los Angeles","2023","Part-time students, Undergraduate, Degree/certificate-seeking total","Not applicable, undergraduate detail","5055","2221","2834","3727","1577","2150","-2"
"110592","California State University-Los Angeles","2023","Part-time students, Undergraduate, Degree/certificate-seeking, First-time","Not applicable, undergraduate detail","177","79","98","150","65","85","-2"
"110592","California State University-Los Angeles","2023","Part-time students, Undergraduate, Degree/certificate-seeking, Other degree/certificate-seeking","Not applicable, undergraduate detail","4878","2142","2736","3577","1512","2065","-2"
"110592","California State University-Los Angeles","2023","Part-time students, Undergraduate, Non-degree/certificate-seeking","Not applicable, undergraduate detail","129","52","77","87","36","51","-2"
"110592","California State University-Los Angeles","2023","Part-time students, Graduate","Not applicable, undergraduate detail","1601","637","964","905","340","565","-2"
"110592","California State University-Los Angeles","2023","Part-time students, Undergraduate, Other degree/certificate-seeking, Transfer-ins","Not applicable, undergraduate detail","742","300","442","513","196","317","-2"
"110592","California State University-Los Angeles","2023","Part-time students, Undergraduate, Other degree/certificate-seeking, Continuing","Not applicable, undergraduate detail","4136","1842","2294","3064","1316","1748","-2"
"110608","California State University-Northridge","2023","All students total","All students total","41751","18400","23351","22041","9076","12965","-2"
"110608","California State University-Northridge","2023","All students, Undergraduate total","Undergraduate","35488","16189","19299","19805","8389","11416","-2"
"110608","California State University-Northridge","2023","All students, Undergraduate, Degree/certificate-seeking total","Not applicable, undergraduate detail","35309","16132","19177","19747","8375","11372","-2"
"110608","California State University-Northridge","2023","All students, Undergraduate, Degree/certificate-seeking, First-time","Not applicable, undergraduate detail","5037","2391","2646","3265","1481","1784","-2"
"110608","California State University-Northridge","2023","All students, Undergraduate, Other degree/certificate-seeking","Not applicable, undergraduate detail","30272","13741","16531","16482","6894","9588","-2"
"110608","California State University-Northridge","2023","All students, Undergraduate, Non-degree/certificate-seeking","Not applicable, undergraduate detail","179","57","122","58","14","44","-2"
"110608","California State University-Northridge","2023","All students, Graduate","Graduate","6263","2211","4052","2236","687","1549","-2"
"110608","California State University-Northridge","2023","All students, Undergraduate, Other degree/certificate-seeking, Transfer-ins","Not applicable, undergraduate detail","6570","2936","3634","3155","1307","1848","-2"
"110608","California State University-Northridge","2023","All students, Undergraduate, Other degree/certificate-seeking, Continuing","Not applicable, undergraduate detail","23702","10805","12897","13327","5587","7740","-2"
"110608","California State University-Northridge","2023","Full-time students total","Not applicable, undergraduate detail","30715","13472","17243","16987","6909","10078","-2"
"110608","California State University-Northridge","2023","Full-time students, Undergraduate total","Not applicable, undergraduate detail","27776","12420","15356","15871","6582","9289","-2"
"110608","California State University-Northridge","2023","Full-time students, Undergraduate, Degree/certificate-seeking total","Not applicable, undergraduate detail","27717","12402","15315","15869","6582","9287","-2"
"110608","California State University-Northridge","2023","Full-time students, Undergraduate, Degree/certificate-seeking, First-time","Not applicable, undergraduate detail","4963","2355","2608","3220","1459","1761","-2"
"110608","California State University-Northridge","2023","Full-time students, Undergraduate, Degree/certificate-seeking, Other degree/certificate-seeking","Not applicable, undergraduate detail","22754","10047","12707","12649","5123","7526","-2"
"110608","California State University-Northridge","2023","Full-time students, Undergraduate, Non-degree/certificate-seeking","Not applicable, undergraduate detail","59","18","41","2","0","2","-2"
"110608","California State University-Northridge","2023","Full-time students, Graduate","Not applicable, undergraduate detail","2939","1052","1887","1116","327","789","-2"
"110608","California State University-Northridge","2023","Full-time students, Undergraduate, Other degree/certificate-seeking, Transfer-ins","Not applicable, undergraduate detail","4943","2194","2749","2397","994","1403","-2"
"110608","California State University-Northridge","2023","Full-time students, Undergraduate, Other degree/certificate-seeking, Continuing","Not applicable, undergraduate detail","17811","7853","9958","10252","4129","6123","-2"
"110608","California State University-Northridge","2023","Part-time students total","Not applicable, undergraduate detail","11036","4928","6108","5054","2167","2887","-2"
"110608","California State University-Northridge","2023","Part-time students, Undergraduate total","Not applicable, undergraduate detail","7712","3769","3943","3934","1807","2127","-2"
"110608","California State University-Northridge","2023","Part-time students, Undergraduate, Degree/certificate-seeking total","Not applicable, undergraduate detail","7592","3730","3862","3878","1793","2085","-2"
"110608","California State University-Northridge","2023","Part-time students, Undergraduate, Degree/certificate-seeking, First-time","Not applicable, undergraduate detail","74","36","38","45","22","23","-2"
"110608","California State University-Northridge","2023","Part-time students, Undergraduate, Degree/certificate-seeking, Other degree/certificate-seeking","Not applicable, undergraduate detail","7518","3694","3824","3833","1771","2062","-2"
"110608","California State University-Northridge","2023","Part-time students, Undergraduate, Non-degree/certificate-seeking","Not applicable, undergraduate detail","120","39","81","56","14","42","-2"
"110608","California State University-Northridge","2023","Part-time students, Graduate","Not applicable, undergraduate detail","3324","1159","2165","1120","360","760","-2"
"110608","California State University-Northridge","2023","Part-time students, Undergraduate, Other degree/certificate-seeking, Transfer-ins","Not applicable, undergraduate detail","1627","742","885","758","313","445","-2"
"110608","California State University-Northridge","2023","Part-time students, Undergraduate, Other degree/certificate-seeking, Continuing","Not applicable, undergraduate detail","5891","2952","2939","3075","1458","1617","-2"
"110662","University of California-Los Angeles","2023","All students total","All students total","49010","21045","27965","9906","3497","6409","-2"
"110662","University of California-Los Angeles","2023","All students, Undergraduate total","Undergraduate","34398","13711","20687","7697","2607","5090","-2"
"110662","University of California-Los Angeles","2023","All students, Undergraduate, Degree/certificate-seeking total","Not applicable, undergraduate detail","34395","13710","20685","7697","2607","5090","-2"
"110662","University of California-Los Angeles","2023","All students, Undergraduate, Degree/certificate-seeking, First-time","Not applicable, undergraduate detail","6513","2432","4081","1456","412","1044","-2"
"110662","University of California-Los Angeles","2023","All students, Undergraduate, Other degree/certificate-seeking","Not applicable, undergraduate detail","27882","11278","16604","6241","2195","4046","-2"
"110662","University of California-Los Angeles","2023","All students, Undergraduate, Non-degree/certificate-seeking","Not applicable, undergraduate detail","3","1","2","0","0","0","-2"
"110662","University of California-Los Angeles","2023","All students, Graduate","Graduate","14612","7334","7278","2209","890","1319","-2"
