place_name,shared,single,post,lat,lon
629 Gayley Avenue,855.0,0.0,4,34.067458,-118.44852
629 Levering Avenue,750.0,0.0,3,34.066179999999996,-118.4524
630 Kelton Avenue,612.0,1100.0,6,34.06584,-118.45303999999999
631 Kelton Avenue,653.7333333333333,0.0,18,34.06553699999999,-118.45335
638 Kelton Avenue,900.0,1800.0,2,34.06563,-118.45286000000002
638 Landfair Avenue,784.4,0.0,32,34.06653000000003,-118.44862999999997
640 Veteran Avenue,561.0,1000.0,14,34.06552,-118.45416000000002
641 Gayley Avenue,779.6,1600.0,14,34.066930000000006,-118.44822999999998
644 Landfair Avenue,683.3333333333334,0.0,4,34.066313,-118.448453
646 Midvale Avenue,800.0,0.0,1,34.06501,-118.45159
649 Gayley Avenue,800.0,0.0,3,34.06673,-118.44788
650 Landfair Avenue,625.0,1100.0,10,34.06618100000001,-118.44831400000001
650 Levering Avenue,809.0,1200.0,9,34.06655999999999,-118.45155
652 Veteran Avenue,642.0,0.0,9,34.06511,-118.453883
655 Kelton Avenue,631.5428571428571,1283.3333333333333,44,34.06510200000002,-118.45317800000002
656 Kelton Avenue,770.0,0.0,3,34.065194,-118.45267
658 Kelton Avenue,710.0,0.0,1,34.06512,-118.45265
660 Veteran Avenue,657.5,1518.75,22,34.06501000000002,-118.45391799999999
662 Kelton Avenue,0.0,0.0,6,34.06504,-118.45263999999999
667 Midvale Avenue,858.0,0.0,2,34.065048,-118.45182
670 Kelton Avenue,885.0,0.0,4,34.064859999999996,-118.45263
671 Landfair Avenue,400.0,0.0,1,34.0656,-118.4482
679 Gayley Avenue,764.5294117647059,1550.0,33,34.066130000000015,-118.44788000000005
685 Kelton Avenue,683.3333333333334,0.0,11,34.06459,-118.45281999999999
690 Landfair Avenue,0.0,0.0,1,34.066134000000005,-118.448472
690 Veteran Avenue,624.2272727272727,1750.0,34,34.064296999999996,-118.45316300000003
691 Levering Avenue,752.5,1016.6666666666666,9,34.0657,-118.45069
700 Levering Avenue,633.3333333333334,0.0,5,34.065536,-118.45026200000002
705 Gayley Avenue,627.0,1400.0,8,34.06542000000001,-118.44813
714 Veteran Avenue,430.0,0.0,1,34.063688,-118.45263500000001
715 South Barrington Avenue,0.0,1000.0,1,34.05584,-118.46763999999999
729 Gayley Avenue,650.0,1200.0,11,34.06463000000001,-118.44838000000003
735 Levering Avenue,693.3333333333334,0.0,4,34.064479999999996,-118.45016000000001
738 Levering Avenue,550.0,0.0,3,34.0661,-118.450672
740 Weyburn Terrace,0.0,1300.0,3,34.063140999999995,-118.45127099999998
747 Gayley Avenue,720.3076923076923,1200.0,64,34.064304,-118.44841300000006
785 Weyburn Terrace,0.0,1303.3333333333333,3,34.062859,-118.451149
801 Levering Avenue,0.0,1100.0,2,34.06414,-118.45003
803 Levering Avenue,0.0,2100.0,1,34.064259,-118.44986000000002
870 Hilgard Avenue,693.3333333333334,1175.0,16,34.06468999999999,-118.44070000000005
888 Hilgard Avenue,0.0,1500.0,1,34.06469,-118.440849
925 Gayley Avenue,596.875,1166.0,18,34.06711,-118.44798899999998
925 Weyburn Place,0.0,1150.0,2,34.062271,-118.44904299999999
939 Gayley Avenue,800.0,0.0,2,34.062529999999995,-118.44842
939 Palm Avenue,775.0,1200.0,3,34.396427,-119.51641799999999
940 Tiverton Avenue,679.0227272727273,2050.0,67,34.06266299999999,-118.442505
944 Tiverton Avenue,532.0,0.0,1,34.06244,-118.44259
969 Hilgard Avenue,775.0,1550.0,2,34.062102,-118.44187099999999
972 Hilgard Avenue,715.0,1390.0,13,34.061890999999996,-118.44140399999999
982 Strathmore Road,982.0,0.0,1,34.112437,-117.17910800000001
